state_id,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_margin_grid_formula,grid_formula_minus_verified_margin,recovery_alias_trigger_grid,recovery_alias_a1_grid,recovery_alias_m_grid,recovery_alias_gamma_grid,global_alias_margin_grid_verified,global_alias_margin_grid_formula,global_alias_trigger_grid
32993,0.13848977866582574,0.025,0.0,0.8778312802314758,0.060029345181062996,0.0034995689966114763,0.0034995689613172847,-3.529419161443781e-11,gamma_high,0.13953055497716724,0.8720000000000001,0.07585775750291836,0.009821015785951329,0.009821015715378986,gamma_low
32994,0.1842360085807741,0.025,0.0,0.527953028678894,0.6675981360828915,0.010806196838676264,0.010806196174590565,-6.640856996253941e-10,a1_low,0.17685795262881285,0.5680000000000001,0.5754399373371569,0.03615738397588155,0.036157384004091214,gamma_low
32995,0.11553142471238972,0.025,0.0,1.1678986139595509,0.022300488022961227,0.005719411457604462,0.0057194118105284904,3.5292402854325555e-10,gamma_low,0.11529971230170118,1.1680000000000001,0.018197008586099836,0.005861226346487173,0.00586122596457407,gamma_high
32996,0.09635292338207366,0.025,0.0,0.4410469502210617,0.03724719960697236,0.001986329611372581,0.0019863294133824045,-1.9799017633714833e-10,gamma_low,0.09522526864237867,0.448,0.016595869074375606,0.001986329611372581,0.0019863294133824045,gamma_low
32997,0.1659157761372626,0.025,0.0,1.051284424215555,0.12414386542336898,0.006800731327679099,0.00680073167121971,3.4354061088925913e-10,gamma_high,0.1680752480229534,1.04,0.1513561248436208,0.020342064522521977,0.02034206481065273,gamma_low
32998,0.15768716274760664,0.025,0.0,0.7015518940985203,0.01117532335866613,0.0033684570303111794,0.0033684557963598264,-1.233951352989232e-09,gamma_high,0.1588286776406684,0.696,0.026302679918953815,0.0033684570303111794,0.0033684557963598264,gamma_high
32999,0.08575760028325022,0.025,0.0,0.991266307234764,0.33492006215826076,0.006689701451262507,0.006689701555527253,1.0426474614244619e-10,m_low,0.08829929238664318,0.9600000000000001,0.3981071705534973,0.020486985960456932,0.020486985981955346,gamma_low
33000,0.07455887850373984,0.025,0.0,0.555904895812273,0.017100509114614512,0.00120388110131622,0.0012038802986626502,-8.026535696942921e-10,gamma_high,0.07500899588085921,0.552,0.028840315031266057,0.003359996222021169,0.0033599967701822882,gamma_high
33001,0.14559584874659778,0.025,0.0,1.1395516395568848,0.49410628252757355,0.010785029835687871,0.010785029897407858,6.171998676030022e-11,a1_high,0.15077334425445849,1.096,0.5754399373371569,0.0291749437531895,0.02917494370093416,m_low
33002,0.17259637047536674,0.025,0.0,0.6898198962211609,0.0444322368056913,0.0035498627490805684,0.003549864002334688,1.2532541194057445e-09,gamma_low,0.17119558836800097,0.696,0.02754228703338166,0.009415034495332219,0.009415035462661602,gamma_high
33003,0.10388033357448877,0.025,0.0,0.8061235137283802,0.15394805233044515,0.0066155416739509644,0.006615541912960922,2.3900995765879784e-10,gamma_low,0.10167993578189623,0.8240000000000001,0.1096478196143185,0.012593608956369245,0.0125936087187496,gamma_low
33004,0.12219925732351841,0.025,0.0,0.779461035132408,0.7839426944241459,0.005195742738003735,0.005195742657284986,-8.071874939286072e-11,m_high,0.11809783661189512,0.8240000000000001,0.6918309709189366,0.0233056576401256,0.02330565759826418,m_high
33005,0.1917781407479197,0.025,0.0,0.9129742659628391,0.027100510127648747,0.007374759618855414,0.007374758888079915,-7.307754991414672e-10,gamma_high,0.19406548867368176,0.904,0.05248074602497726,0.009143585153059703,0.009143585699658821,gamma_low
33006,0.1272946633398533,0.025,0.0,0.46309527531266215,0.3010297697608091,0.0052988685953276726,0.005298868770282822,1.7495514932630574e-10,gamma_low,0.12279510585161474,0.488,0.2398832919019491,0.015149539514207394,0.015149539597706842,gamma_low
33007,0.05535822547972202,0.025,0.0,1.0296315878629683,0.0871777312407326,0.003143954376294918,0.0031439544809266223,1.0463170434238389e-10,gamma_low,0.054663900206370145,1.04,0.06025595860743578,0.00574661747079428,0.005746617601019826,gamma_low
33008,0.05145781971514225,0.025,0.0,0.48842573538422585,0.4288428737155788,0.003666330766545615,0.003666330762603376,-3.942238896437189e-12,m_low,0.05489595338907913,0.44,0.5495408738576245,0.20080077713886288,0.20080077713818076,gamma_high
33009,0.13009813502430917,0.025,0.0,1.003131040930748,0.014841528711091359,0.0022151477768180047,0.002215147325677538,-4.511404665639984e-10,gamma_high,0.13064848574426502,1.0,0.023988329190194897,0.007615559273445015,0.007615560152742294,gamma_high
33010,0.19688310869969428,0.025,0.0,0.7533984869718551,0.1773770104107948,0.008489746377983802,0.008489746915923978,5.379401767785508e-10,gamma_low,0.19375311727560202,0.768,0.1445439770745927,0.020404086431909673,0.020404086487141888,gamma_low
33011,0.1158486178610474,0.025,0.0,0.938645163923502,0.051195009407946496,0.00301558854233327,0.00301558868542249,1.430892201600975e-10,gamma_low,0.11504678514438291,0.9440000000000001,0.03630780547701014,0.0076912774734588865,0.00769127761453904,gamma_low
33012,0.0972716119606048,0.025,0.0,0.6649062156677246,0.031225184177641967,0.0027177564955192255,0.002717756376739729,-1.187794966550637e-10,gamma_low,0.09634890848032447,0.672,0.01148153621496883,0.0027177564955192255,0.002717756376739729,gamma_low
33013,0.1779605292249471,0.025,0.0,0.8298671074211597,0.9032449496269729,0.004529910716341357,0.004529910240138944,-4.762024125720687e-10,m_high,0.17377412422195382,0.8640000000000001,0.8317637711026709,0.029976224786278774,0.029976224774855557,m_high
33014,0.14872950036078691,0.025,0.0,0.57998883202672,0.07566186918142057,0.005508849125947039,0.005508849277269171,1.5132213190827137e-10,gamma_low,0.1463177570937473,0.5920000000000001,0.04365158322401661,0.008834551272477578,0.00883455104760067,gamma_low
33015,0.07032489534467459,0.025,0.0,1.1150760531425474,0.26126977750683567,0.0056502506592294765,0.005650250688226048,2.899657163685232e-11,gamma_high,0.07217128289028042,1.088,0.31622776601683794,0.01691429237280238,0.016914292397449477,gamma_low
33016,0.08185891113243998,0.025,0.0,0.7250513233244419,0.06916469846688372,0.0020374952209422917,0.0020374953245854903,1.0364319862413152e-10,gamma_high,0.08242058902616958,0.72,0.08317637711026708,0.006336950980883416,0.006336951117448924,gamma_low
33017,0.1604877734091133,0.025,0.0,0.9665968388319015,0.23130231430667775,0.010353491718061358,0.01035349160189777,-1.1616358742971844e-10,gamma_low,0.1573856976987929,0.984,0.19054607179632474,0.026082001105734838,0.02608200092401118,gamma_low
33018,0.17102703833952548,0.025,0.0,0.41671777665615084,0.01935505630112724,0.00350917501548015,0.0035091764933275144,1.4778473644491696e-09,gamma_high,0.17376368182677704,0.40800000000000003,0.04570881896148752,0.00350917501548015,0.0035091764933275144,gamma_high
33019,0.08999484525993467,0.025,0.0,1.0752218998968601,0.5794103470147041,0.0063110559157255166,0.006311055904277366,-1.1448150587234363e-11,m_low,0.09301413971325931,1.032,0.6606934480075961,0.01907289409076764,0.019072894073762028,m_low
33020,0.10892098648473622,0.025,0.0,0.5016965985298156,0.10774434551581052,0.002945074885721153,0.0029450740835634506,-8.021577022412907e-10,gamma_low,0.10722856414373287,0.512,0.07943282347242814,0.00785782300099291,0.007857822930449614,gamma_low
