selected_rank,state_id,split,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_margin_grid_formula,global_alias_margin_grid_verified,grid_alias_trigger_verified,grid_alias_a1_verified,grid_alias_m_verified,grid_alias_gamma_verified,recovery_alias_margin_refined,refined_minus_grid_margin,alias_source_refined,alias_trigger_refined,alias_a1_refined,alias_m_refined,alias_gamma_refined,alias_delta_a1_refined,alias_delta_m_refined,alias_gamma_factor_refined
115,16098,train,0.18474267590790988,0.025,0.0,0.5757910408079624,0.2640289732804079,0.010230788521829933,0.010230788929403711,0.021772194663219592,a1_low,0.17944840564381517,0.6000000000000001,0.20892961308540398,0.006131810757017228,-0.004098977764812705,continuous_direct_verified,gamma_low,0.18049110167789145,0.5943861058399923,0.22002414440033993,0.004251574230018429,0.0185950650320299,1.2
116,16541,train,0.18514414224773645,0.025,0.0,1.1161728620529174,0.08632951769150508,0.01031502353614843,0.010315023921771629,0.01782928688526557,gamma_low,0.1824380928840022,1.1280000000000001,0.054954087385762455,0.004467011460165673,-0.005848012075982758,continuous_direct_verified,gamma_low,0.1838923816810934,1.121475726628592,0.0719412647429209,0.0012517605666430565,0.005302864575674526,1.2000000000000002
117,26963,train,0.12299780584871771,0.025,0.0,1.025855755060911,0.6533311213444655,0.009784302572730372,0.00978430255820472,0.0224943367455442,m_low,0.12798822950767993,0.9680000000000001,0.758577575029184,0.004073489808782576,-0.005710812763947796,continuous_direct_verified,m_low,0.12567458536076728,0.9958557550609111,0.7090025745003954,0.0026767795120495735,0.030000000000000027,1.0852116963927354
118,27125,train,0.17886689542792739,0.025,0.0,1.1664226330816745,0.9530479720532439,0.02247171266490244,0.022471712642362935,0.5971831575986153,m_low,0.18139648755269552,1.1360000000000001,1.0,0.0036457184547973613,-0.018825994210105078,continuous_direct_verified,m_high,0.17562169064094824,1.1964226330816745,0.8978112333056478,0.00324520478697915,0.030000000000000027,1.0615237777146318
119,12084,train,0.0994740929454565,0.025,0.0,0.7892124779522418,0.32983207654785224,0.009804145520536656,0.009804145374132933,0.02121228744710148,m_high,0.09527611686373412,0.8320000000000001,0.2398832919019491,0.00564960540915971,-0.004154540111376946,continuous_direct_verified,gamma_low,0.09688991428147282,0.8152212402797612,0.2748600637898769,0.00258417866398368,0.026008762327519364,1.2
120,46581,train,0.178738470422104,0.025,0.0,0.9471684359014034,0.30614502180463227,0.015095330284133448,0.015095330344123994,0.035510097699027084,a1_low,0.17233448108407406,0.984,0.22908676527677735,0.009763142001014892,-0.005332188283118556,continuous_direct_verified,gamma_low,0.17447899446277254,0.9717271142424799,0.25512085150386027,0.00425947595933146,0.0245586783410765,1.1999999999999997
121,16028,train,0.11357775381766261,0.025,0.0,0.4746610164642334,0.28687724444979074,0.009597826888501035,0.00959782726005887,0.013774010704286901,a1_low,0.10643833583440243,0.52,0.17378008287493754,0.0038223696546922743,-0.005775457233808761,continuous_direct_verified,gamma_low,0.11045984981935782,0.49401481152206916,0.23906437037482564,0.0031179039983047913,0.019353795057835743,1.2
122,1475,train,0.10716663529165091,0.025,0.0,1.1866911597549916,0.8694202718006894,0.010733673369526851,0.010733673374699434,0.2656889753097272,m_low,0.11033051532764832,1.1440000000000001,0.9549925860214359,0.0025665974008582788,-0.008167075968668572,continuous_direct_verified,m_low,0.10918246764965055,1.1566911597549916,0.9245530266581649,0.002015832357999639,0.030000000000000027,1.0634132382757626
123,40174,train,0.127172073116526,0.025,0.0,0.7542455427348613,0.21309286633855132,0.009507158731078904,0.009507158816506366,0.016501507456957425,gamma_low,0.12428135945785274,0.776,0.16595869074375605,0.005086768613362782,-0.004420390117716122,continuous_direct_verified,gamma_low,0.1249768148003106,0.7697125159900574,0.17757738861545944,0.0021952583162154066,0.015466973255196081,1.2
124,34873,train,0.1584893885534257,0.025,0.0,1.19484076872468,0.11475294436424374,0.009584642538221909,0.009584642796907582,0.03402061860476678,gamma_high,0.1607737102513077,1.1840000000000002,0.1445439770745927,0.0062696365341843585,-0.0033150060040375504,continuous_direct_verified,gamma_high,0.16023583571574945,1.1858334996001132,0.13770353323709247,0.0017464471623237499,0.009007269124566841,1.2
125,42235,train,0.0899244558531791,0.025,0.0,1.1795802295207976,0.45282685900748276,0.009415782206104395,0.009415782256792508,0.02434631216459625,m_low,0.09382366380949389,1.1280000000000001,0.5495408738576245,0.0049466887267508525,-0.0044690934793535425,continuous_direct_verified,m_low,0.09212868440021818,1.1495802295207975,0.5075727546515431,0.0022042285470390832,0.030000000000000027,1.1208980751805528
126,3301,train,0.16577153112739326,0.025,0.0,0.8931668557226657,0.25552123509563757,0.010449978477858512,0.0104499784668511,0.027499086674036763,gamma_high,0.17061932172887584,0.8640000000000001,0.31622776601683794,0.007981658874997981,-0.0024683196028605307,continuous_direct_verified,gamma_low,0.16243157851257087,0.9128006775493971,0.21293436257969797,0.0033399526148223946,0.019633821826731346,1.2
127,438,train,0.1523657104931772,0.025,0.0,0.6770273819565773,0.2927444841113241,0.011987251148907177,0.011987250372100192,0.022801556284116967,gamma_low,0.14759264681741785,0.704,0.22908676527677735,0.0065217528032529525,-0.005465498345654225,continuous_direct_verified,gamma_low,0.1487031731831326,0.6988503782360012,0.24395373675943677,0.0036625373100446224,0.021822996279423856,1.2
128,2673,train,0.1313569063320756,0.025,0.0,1.0759796135127544,0.21509241822750844,0.010923114618318054,0.010923114637977786,0.025909579968318677,gamma_high,0.13517796718398098,1.048,0.2754228703338166,0.006958350296436826,-0.003964764321881228,continuous_direct_verified,gamma_low,0.1291307291583423,1.0919314332515027,0.17924368185625705,0.0022261771737333014,0.015951819738748263,1.2
129,34674,train,0.19600183148868383,0.025,0.0,0.7862822458148002,0.9000387734224028,0.01392617284370822,0.013926172671513422,0.03165378984427078,a1_low,0.18438802108323898,0.8720000000000001,0.7244359600749902,0.004185666027753174,-0.009740506815955046,continuous_direct_verified,m_high,0.191855117013367,0.8162822458148002,0.8357892253873455,0.004146714475316837,0.030000000000000027,1.076872907766047
130,29746,train,0.1995944050140679,0.025,0.0,0.4307892203330994,0.2863398844516204,0.010010938917923028,0.010010938364552621,0.01844573762744905,a1_low,0.19391271444642685,0.448,0.2398832919019491,0.004499137328337993,-0.005511801589585035,continuous_direct_verified,a1_low,0.1945851394341553,0.4468577227154393,0.2456205269047989,0.005009265579912575,0.016068502382339866,1.1657815739586133
131,36083,train,0.11570490538142623,0.025,0.0,0.852032221108675,0.49632251334922606,0.010530582822249569,0.010530582633403035,0.024932527835344897,a1_high,0.12244205908831635,0.784,0.6309573444801934,0.004869882452565891,-0.005660700369683678,continuous_direct_verified,m_low,0.11868256162667537,0.822032221108675,0.555403960659137,0.0029776562452491356,0.030000000000000027,1.1190384190135247
132,10663,train,0.08511835653334857,0.025,0.0,1.0049391731619834,0.2809865635365789,0.009565829413027681,0.009565829285488393,0.019147809301208116,m_high,0.0822653888517147,1.04,0.20892961308540398,0.005497933530217559,-0.004067895882810122,continuous_direct_verified,gamma_low,0.083249864512239,1.027155336004198,0.23415546961381578,0.0018684920211095718,0.022216162842214615,1.2
133,12922,train,0.17002678671851756,0.025,0.0,0.6750957071781158,0.30929118001299694,0.01299293485367793,0.012992934246682181,0.024672191551524586,a1_low,0.1633868157584001,0.712,0.22908676527677735,0.007265207493266903,-0.005727727360411027,continuous_direct_verified,gamma_low,0.16572248023729436,0.6983084825413393,0.2577426500108308,0.004304306481223208,0.023212775363223415,1.2
134,13004,train,0.11801876453682782,0.025,0.0,0.5903207883238792,0.5383629196374508,0.009489495215266477,0.009489495303937095,0.01940007147049117,a1_high,0.12303337671938927,0.552,0.6309573444801934,0.004051904224561048,-0.005437590990705429,continuous_direct_verified,m_low,0.12175948522278117,0.5603207883238792,0.6072948291153566,0.0037407206859533526,0.030000000000000027,1.1280398537186154
135,28237,train,0.19793889950960875,0.025,0.0,0.9863719344139099,0.19739064761432448,0.015491624092707582,0.015491624180549477,0.029231794908348697,gamma_low,0.1936694005824948,1.008,0.1513561248436208,0.008222657743793107,-0.007268966348914475,continuous_direct_verified,gamma_low,0.19485888522957087,1.0008275540656948,0.16449220634527043,0.003080014280037874,0.014455619651784879,1.1999999999999997
136,31357,train,0.18842294453643266,0.025,0.0,0.8842158906161786,0.3845875123692721,0.010922451887301026,0.010922452060572251,0.037277369175360626,a1_high,0.19473323826733893,0.8480000000000001,0.4570881896148752,0.008590001267718894,-0.002332450619582132,continuous_direct_verified,a1_high,0.19342827938808693,0.8551481268504533,0.44216368429403413,0.005005334851654275,0.029067763765725285,1.1497088960846933
137,45969,train,0.12578096692450347,0.025,0.0,1.1178299941122531,0.7755017946717712,0.009701622827002227,0.009701622895479543,0.173262037691697,m_low,0.13004006319516023,1.064,0.8709635899560806,0.003407355224927417,-0.00629426760207481,continuous_direct_verified,m_low,0.12828337225556763,1.0878299941122531,0.8305615767573781,0.0025024053310641614,0.030000000000000027,1.070998909949539
