state_1,state_2,a1_1,a1_2,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
15,37,0.0875,0.1625,0.06309573444801933,0.06309573444801933,0.002,0.010629456490278244,0.0028567141556269187,0.028567141556269188,0.1516423392420118,0.01883849965587632,3.767699931175264e-05,758.2116962100588,75.82116962100588
15,38,0.0875,0.1625,0.06309573444801933,0.1,0.002,0.010180812329053879,0.002741165991031134,0.02741165991031134,0.14595425643012058,0.018780993840652665,3.756198768130533e-05,729.7712821506029,72.97712821506029
15,39,0.0875,0.1625,0.06309573444801933,0.15848931924611143,0.002,0.009478654712438583,0.002560540011660875,0.02560540011660875,0.13699243240736014,0.018691105535281423,3.7382211070562845e-05,684.9621620368007,68.49621620368006
15,40,0.0875,0.1625,0.06309573444801933,0.25118864315095807,0.002,0.008401628583669662,0.002283927077452881,0.02283927077452881,0.12309981027580441,0.018553457331378136,3.7106914662756275e-05,615.499051379022,61.54990513790221
15,41,0.0875,0.1625,0.06309573444801933,0.3981071705534973,0.002,0.0068237148225307465,0.0018795194158950396,0.018795194158950396,0.10241378206744135,0.018352211762449527,3.670442352489906e-05,512.0689103372067,51.20689103372067
15,42,0.0875,0.1625,0.06309573444801933,0.6309573444801934,0.002,0.004711437970399857,0.0013395400460327067,0.013395400460327066,0.07407574503601268,0.018083382696744733,3.6166765393489466e-05,370.3787251800635,37.03787251800635
15,43,0.0875,0.1625,0.06309573444801933,1.0,0.002,0.0022450052201747894,0.0007113934050163518,0.007113934050163518,0.04003393656002275,0.01776975901307537,3.553951802615074e-05,200.16968280011372,20.016968280011373
15,44,0.0875,0.2,0.06309573444801933,0.01,0.002,0.01674291118979454,0.004491042667212337,0.044910426672123374,0.2285096293794515,0.01965362544855709,3.930725089711418e-05,1142.5481468972575,114.25481468972575
15,45,0.0875,0.2,0.06309573444801933,0.015848931924611134,0.002,0.016654852777719498,0.004468318251112915,0.04468318251112915,0.2274843622314357,0.019642309507705777,3.928461901541155e-05,1137.4218111571786,113.74218111571787
15,46,0.0875,0.2,0.06309573444801933,0.025118864315095794,0.002,0.01651528850197792,0.004432310408116669,0.04432310408116669,0.22585735703040113,0.019624379149712913,3.924875829942583e-05,1129.2867851520055,112.92867851520055
15,47,0.0875,0.2,0.06309573444801933,0.039810717055349734,0.002,0.01629415526986122,0.004375280517424018,0.04375280517424018,0.22327437611067538,0.01959598138236528,3.919196276473056e-05,1116.3718805533767,111.63718805533769
15,48,0.0875,0.2,0.06309573444801933,0.06309573444801933,0.002,0.015944186598062515,0.004285071203457598,0.04285071203457598,0.2191733034560251,0.019551063637261615,3.910212727452323e-05,1095.8665172801257,109.58665172801255
15,49,0.0875,0.2,0.06309573444801933,0.1,0.002,0.015392009168863297,0.004142857618835957,0.04142857618835957,0.21266957671407458,0.019480255158479287,3.896051031695858e-05,1063.3478835703727,106.33478835703725
15,50,0.0875,0.2,0.06309573444801933,0.15848931924611143,0.002,0.014527816325426102,0.003920544891791458,0.03920544891791459,0.2024073966124663,0.019369573234014868,3.873914646802974e-05,1012.0369830623314,101.20369830623312
15,51,0.0875,0.2,0.06309573444801933,0.25118864315095807,0.002,0.013202238827943802,0.0035800818230873207,0.03580081823087321,0.18646178157840532,0.01920008375325928,3.840016750651856e-05,932.3089078920266,93.23089078920266
15,52,0.0875,0.2,0.06309573444801933,0.3981071705534973,0.002,0.011260200291872025,0.0030822826951224717,0.030822826951224718,0.16263380590892482,0.018952287797092782,3.7904575594185564e-05,813.1690295446241,81.3169029544624
15,53,0.0875,0.2,0.06309573444801933,0.6309573444801934,0.002,0.008660469204187393,0.0024173838954453207,0.024173838954453204,0.12981834596233854,0.018621280971694285,3.724256194338857e-05,649.0917298116927,64.90917298116928
15,54,0.0875,0.2,0.06309573444801933,1.0,0.002,0.005624864250421524,0.0016424036254568317,0.016424036254568317,0.09006809030169155,0.018235133219272733,3.647026643854546e-05,450.34045150845776,45.03404515084578
16,17,0.0875,0.0875,0.1,0.15848931924611143,0.002,0.0003780834376811981,9.73198042005938e-05,0.0009731980420059379,0.005624132066126232,0.017303968515736748,3.4607937031473494e-05,28.120660330631164,2.8120660330631164
16,18,0.0875,0.0875,0.1,0.25118864315095807,0.002,0.0009580254554748535,0.0002463804347491854,0.002463804347491854,0.014299554121964049,0.01722993826574957,3.445987653149914e-05,71.49777060982025,7.149777060982026
16,19,0.0875,0.0875,0.1,0.3981071705534973,0.002,0.001807667315006256,0.0004643798970526057,0.004643798970526057,0.02712230093150067,0.01712169989653277,3.424339979306554e-05,135.61150465750336,13.561150465750336
16,20,0.0875,0.0875,0.1,0.6309573444801934,0.002,0.0029450468719005585,0.000755713591883721,0.00755713591883721,0.04451369778006521,0.016977102096023933,3.395420419204787e-05,222.56848890032606,22.256848890032607
16,21,0.0875,0.0875,0.1,1.0,0.002,0.004273127764463425,0.0010957481353808195,0.010957481353808194,0.0651905461147712,0.016808390183627245,3.361678036725449e-05,325.952730573856,32.595273057385604
16,22,0.0875,0.125,0.1,0.01,0.002,0.006055507808923721,0.0016193168759862189,0.016193168759862188,0.08917291862300658,0.018159289849333647,3.63185796986673e-05,445.8645931150329,44.58645931150329
16,23,0.0875,0.125,0.1,0.015848931924611134,0.002,0.006000477820634842,0.001605113602283235,0.01605113602283235,0.08842517273986572,0.018152224672551683,3.6304449345103366e-05,442.12586369932865,44.21258636993286
16,24,0.0875,0.125,0.1,0.025118864315095794,0.002,0.005913246423006058,0.0015826071425215384,0.015826071425215384,0.08723910372566954,0.018141029365663537,3.6282058731327076e-05,436.1955186283477,43.61955186283477
16,25,0.0875,0.125,0.1,0.039810717055349734,0.002,0.005775038152933121,0.0015469611966004064,0.015469611966004064,0.0853575964835501,0.018123298456494533,3.624659691298907e-05,426.7879824177504,42.67879824177504
16,26,0.0875,0.125,0.1,0.06309573444801933,0.002,0.005556304007768631,0.0014905780336402677,0.014905780336402677,0.08237398046849245,0.018095253199648456,3.619050639929691e-05,411.86990234246235,41.18699023424623
16,27,0.0875,0.125,0.1,0.1,0.002,0.005211193114519119,0.0014016917522744878,0.014016917522744879,0.0776515694290464,0.01805104214352389,3.610208428704778e-05,388.257847145232,38.825784714523195
16,28,0.0875,0.125,0.1,0.15848931924611143,0.002,0.004671074450016022,0.0012627480351327961,0.012627480351327961,0.07022314556892059,0.017981934943279786,3.5963869886559575e-05,351.1157278446029,35.11157278446029
16,29,0.0875,0.125,0.1,0.25118864315095807,0.002,0.0038425885140895844,0.0010499858835016712,0.010499858835016713,0.058736825949739516,0.0178761086681826,3.5752217336365206e-05,293.68412974869756,29.368412974869752
16,30,0.0875,0.125,0.1,0.3981071705534973,0.002,0.0026288144290447235,0.0007390337682596604,0.007390337682596603,0.041702934096329164,0.017721385419850168,3.5442770839700336e-05,208.51467048164588,20.85146704816459
16,31,0.0875,0.125,0.1,0.6309573444801934,0.002,0.0010039843618869781,0.00032497695240321547,0.0032497695240321545,0.01855452998501788,0.017514696015777424,3.502939203155485e-05,92.77264992508941,9.277264992508941
16,32,0.0875,0.125,0.1,1.0,0.002,0.0008932724595069885,0.00017193617897490705,0.0017193617897490706,0.009953723107380331,0.0172735545403531,3.45471090807062e-05,49.76861553690165,4.976861553690165
16,33,0.0875,0.1625,0.1,0.01,0.002,0.011520002037286758,0.003086290196557295,0.03086290196557295,0.16337473151369733,0.01889086621879798,3.7781732437595956e-05,816.8736575684868,81.68736575684868
16,34,0.0875,0.1625,0.1,0.015848931924611134,0.002,0.011448454111814499,0.0030678263075374244,0.030678263075374246,0.1624763745557614,0.01888167628016931,3.776335256033862e-05,812.3818727788071,81.2381872778807
16,35,0.0875,0.1625,0.1,0.025118864315095794,0.002,0.011335056275129318,0.0030385690840684133,0.03038569084068413,0.16105107625909768,0.018867114425115593,3.7734228850231186e-05,805.2553812954883,80.52553812954883
16,36,0.0875,0.1625,0.1,0.039810717055349734,0.002,0.0111553855240345,0.0029922310000012483,0.029922310000012484,0.15878915309612587,0.01884405163487362,3.768810326974724e-05,793.9457654806293,79.39457654806293
16,37,0.0875,0.1625,0.1,0.06309573444801933,0.002,0.010871034115552902,0.0029189345443613496,0.029189345443613495,0.1551999609248101,0.01880757267571407,3.761514535142814e-05,775.9998046240505,77.59998046240506
16,38,0.0875,0.1625,0.1,0.1,0.002,0.010422389954328537,0.002803383748012599,0.02803383748012599,0.14951326674572057,0.018750066860490414,3.750013372098083e-05,747.5663337286029,74.75663337286028
16,39,0.0875,0.1625,0.1,0.15848931924611143,0.002,0.009720232337713242,0.0026227528289179737,0.026227528289179736,0.14055346904483162,0.018660178555119172,3.732035711023835e-05,702.767345224158,70.27673452241581
16,40,0.0875,0.1625,0.1,0.25118864315095807,0.002,0.00864320620894432,0.0023461296953100025,0.023461296953100022,0.12666356328340386,0.018522530351215885,3.704506070243177e-05,633.3178164170193,63.331781641701944
16,41,0.0875,0.1625,0.1,0.3981071705534973,0.002,0.007065292447805405,0.0019416975485941669,0.01941697548594167,0.10598042504482923,0.018321284782287277,3.664256956457455e-05,529.9021252241461,52.99021252241461
16,42,0.0875,0.1625,0.1,0.6309573444801934,0.002,0.004953015595674515,0.0014016426586073022,0.014016426586073022,0.07764276952746058,0.018052455716582483,3.610491143316497e-05,388.21384763730293,38.82138476373029
16,43,0.0875,0.1625,0.1,1.0,0.002,0.0024865828454494476,0.000773106321797142,0.007731063217971419,0.043582707156970595,0.01773883203291312,3.547766406582624e-05,217.913535784853,21.7913535784853
16,44,0.0875,0.2,0.1,0.01,0.002,0.0169844888150692,0.004553265548554508,0.04553265548554508,0.23204074382981488,0.01962269846839484,3.9245396936789686e-05,1160.2037191490742,116.02037191490743
16,45,0.0875,0.2,0.1,0.015848931924611134,0.002,0.016896430402994156,0.004530540854749408,0.045305408547494076,0.23101588316817617,0.019611382527543526,3.9222765055087056e-05,1155.079415840881,115.5079415840881
16,46,0.0875,0.2,0.1,0.025118864315095794,0.002,0.01675686612725258,0.004494532561312671,0.0449453256131267,0.22938951862180923,0.019593452169550662,3.9186904339101326e-05,1146.9475931090462,114.69475931090463
16,47,0.0875,0.2,0.1,0.039810717055349734,0.002,0.01653573289513588,0.004437501929536185,0.04437501929536185,0.2268075436087988,0.01956505440220303,3.9130108804406063e-05,1134.037718043994,113.4037718043994
16,48,0.0875,0.2,0.1,0.06309573444801933,0.002,0.016185764223337173,0.004347291370970911,0.043472913709709106,0.2227080397713212,0.019520136657099365,3.904027331419873e-05,1113.540198856606,111.3540198856606
16,49,0.0875,0.2,0.1,0.1,0.002,0.015633586794137955,0.004205075627876585,0.042050756278765845,0.21620672906144842,0.019449328178317037,3.8898656356634075e-05,1081.0336453072418,108.10336453072418
16,50,0.0875,0.2,0.1,0.15848931924611143,0.002,0.01476939395070076,0.003982758969689473,0.03982758969689473,0.20594817845101404,0.019338646253852617,3.8677292507705234e-05,1029.7408922550703,102.97408922550703
16,51,0.0875,0.2,0.1,0.25118864315095807,0.002,0.01344381645321846,0.003642288208366331,0.03642288208366331,0.19000774272335774,0.01916915677309703,3.833831354619406e-05,950.0387136167888,95.00387136167888
16,52,0.0875,0.2,0.1,0.3981071705534973,0.002,0.011501777917146683,0.003144472398381311,0.031444723983813115,0.16618637680476384,0.018921360816930532,3.784272163386107e-05,830.9318840238192,83.0931884023819
16,53,0.0875,0.2,0.1,0.6309573444801934,0.002,0.008902046829462051,0.0024795318895596778,0.024795318895596778,0.13337733593933246,0.018590353991532034,3.718070798306407e-05,666.8866796966622,66.68866796966621
16,54,0.0875,0.2,0.1,1.0,0.002,0.005866441875696182,0.0017044230417101512,0.017044230417101514,0.09362797912321581,0.018204206239110482,3.6408412478220966e-05,468.13989561607906,46.813989561607904
17,18,0.0875,0.0875,0.15848931924611143,0.25118864315095807,0.002,0.0005799420177936554,0.00014906065472436352,0.0014906065472436352,0.008675600340825085,0.017181595378814696,3.4363190757629395e-05,43.37800170412543,4.337800170412543
17,19,0.0875,0.0875,0.15848931924611143,0.3981071705534973,0.002,0.001429583877325058,0.00036706018839349574,0.0036706018839349572,0.02149900503967383,0.017073357009597896,3.4146714019195794e-05,107.49502519836916,10.749502519836916
17,20,0.0875,0.0875,0.15848931924611143,0.6309573444801934,0.002,0.0025669634342193604,0.000658394010758388,0.006583940107583879,0.03889204179860363,0.01692875920908906,3.385751841817812e-05,194.46020899301817,19.446020899301818
17,21,0.0875,0.0875,0.15848931924611143,1.0,0.002,0.0038950443267822266,0.00099842866460633,0.0099842866460633,0.05957194791469185,0.016760047296692372,3.3520094593384745e-05,297.85973957345925,29.785973957345927
17,22,0.0875,0.125,0.15848931924611143,0.01,0.002,0.006433591246604919,0.0017165986100353486,0.017165986100353487,0.09478237739855801,0.018110946962398775,3.622189392479755e-05,473.9118869927901,47.391188699279006
17,23,0.0875,0.125,0.15848931924611143,0.015848931924611134,0.002,0.00637856125831604,0.0017023947198773744,0.01702394719877374,0.0940347898885362,0.01810388178561681,3.620776357123362e-05,470.17394944268096,47.017394944268105
17,24,0.0875,0.125,0.15848931924611143,0.025118864315095794,0.002,0.006291329860687256,0.0016798872452124353,0.01679887245212435,0.0928489667461743,0.018092686478728665,3.618537295745733e-05,464.24483373087145,46.424483373087156
17,25,0.0875,0.125,0.15848931924611143,0.039810717055349734,0.002,0.006153121590614319,0.001644239591782236,0.01644239591782236,0.09096783587957072,0.01807495556955966,3.614991113911932e-05,454.83917939785357,45.483917939785364
17,26,0.0875,0.125,0.15848931924611143,0.06309573444801933,0.002,0.005934387445449829,0.0015878534534738416,0.015878534534738416,0.08798478110434446,0.018046910312713584,3.609382062542717e-05,439.92390552172236,43.99239055217223
17,27,0.0875,0.125,0.15848931924611143,0.1,0.002,0.005589276552200317,0.0014989616806276684,0.014989616806276685,0.08326316288814557,0.018002699256589018,3.6005398513178035e-05,416.3158144407278,41.63158144407278
17,28,0.0875,0.125,0.15848931924611143,0.15848931924611143,0.002,0.00504915788769722,0.0013600068156863119,0.013600068156863118,0.07583571720675675,0.017933592056344913,3.586718411268983e-05,379.17858603378363,37.91785860337836
17,29,0.0875,0.125,0.15848931924611143,0.25118864315095807,0.002,0.0042206719517707825,0.0011472179711073448,0.01147217971107345,0.0643500697274167,0.01782776578124773,3.565553156249546e-05,321.7503486370835,32.17503486370835
17,30,0.0875,0.125,0.15848931924611143,0.3981071705534973,0.002,0.0030068978667259216,0.0008361779409429271,0.008361779409429271,0.04731375140333539,0.017673042532915295,3.534608506583059e-05,236.56875701667698,23.656875701667694
17,31,0.0875,0.125,0.15848931924611143,0.6309573444801934,0.002,0.0013820677995681763,0.0004214565639257392,0.004214565639257392,0.024129625733363833,0.01746635312884255,3.4932706257685103e-05,120.64812866681918,12.064812866681917
17,32,0.0875,0.125,0.15848931924611143,1.0,0.002,0.0005151890218257904,8.384171204584645e-05,0.0008384171204584644,0.004867383561537174,0.017225211653418226,3.445042330683645e-05,24.33691780768587,2.433691780768587
17,33,0.0875,0.1625,0.15848931924611143,0.01,0.002,0.011898085474967957,0.0031835670662294624,0.031835670662294625,0.16895651448370413,0.018842523331863106,3.768504666372622e-05,844.7825724185208,84.47825724185206
17,34,0.0875,0.1625,0.15848931924611143,0.015848931924611134,0.002,0.011826537549495697,0.003165102696262181,0.031651026962621814,0.16805854970948433,0.01883333339323444,3.7666666786468875e-05,840.2927485474218,84.02927485474217
17,35,0.0875,0.1625,0.15848931924611143,0.025118864315095794,0.002,0.011713139712810516,0.0031358446900637245,0.031358446900637243,0.16663386787503762,0.01881877153818072,3.763754307636144e-05,833.169339375188,83.31693393751881
17,36,0.0875,0.1625,0.15848931924611143,0.039810717055349734,0.002,0.011533468961715698,0.0030895053111742493,0.030895053111742492,0.16437290833808343,0.018795708747938747,3.7591417495877496e-05,821.8645416904174,82.18645416904174
17,37,0.0875,0.1625,0.15848931924611143,0.06309573444801933,0.002,0.0112491175532341,0.003016206661508848,0.03016206661508848,0.16078520789339587,0.018759229788779197,3.751845957755839e-05,803.9260394669794,80.39260394669795
17,38,0.0875,0.1625,0.15848931924611143,0.1,0.002,0.010800473392009735,0.00290065200363752,0.0290065200363752,0.1551007814968864,0.01870172397355554,3.7403447947111086e-05,775.5039074844319,77.55039074844319
17,39,0.0875,0.1625,0.15848931924611143,0.15848931924611143,0.002,0.01009831577539444,0.0027200138730427443,0.027200138730427446,0.14614430954236438,0.0186118356681843,3.72236713363686e-05,730.7215477118219,73.07215477118218
17,40,0.0875,0.1625,0.15848931924611143,0.25118864315095807,0.002,0.009021289646625519,0.0024433759852904046,0.024433759852904045,0.1322589147703821,0.018474187464281012,3.6948374928562026e-05,661.2945738519106,66.12945738519107
17,41,0.0875,0.1625,0.15848931924611143,0.3981071705534973,0.002,0.007443375885486603,0.002038909037953507,0.02038909037953507,0.11158077608029222,0.018272941895352404,3.654588379070481e-05,557.903880401461,55.790388040146105
17,42,0.0875,0.1625,0.15848931924611143,0.6309573444801934,0.002,0.005331099033355713,0.0014987507399729265,0.014987507399729266,0.08324490932454688,0.01800411282964761,3.6008225659295223e-05,416.2245466227344,41.62245466227344
17,43,0.0875,0.1625,0.15848931924611143,1.0,0.002,0.0028646662831306458,0.0008697311579458541,0.008697311579458541,0.0491637710392863,0.017690489145978247,3.5380978291956494e-05,245.81885519643154,24.581885519643155
17,44,0.0875,0.2,0.15848931924611143,0.01,0.002,0.017362572252750397,0.004650540579450961,0.046505405794509604,0.23758332988779274,0.01957435558145997,3.914871116291994e-05,1187.9166494389635,118.79166494389636
17,45,0.0875,0.2,0.15848931924611143,0.015848931924611134,0.002,0.017274513840675354,0.004627815465267585,0.04627815465267586,0.23655912119409286,0.019563039640608654,3.912607928121731e-05,1182.7956059704643,118.27956059704641
17,46,0.0875,0.2,0.15848931924611143,0.025118864315095794,0.002,0.017134949564933777,0.004591806490240706,0.04591806490240706,0.2349337843981688,0.01954510928261579,3.909021856523158e-05,1174.6689219908442,117.46689219908441
17,47,0.0875,0.2,0.15848931924611143,0.039810717055349734,0.002,0.016913816332817078,0.004534774737769134,0.04534774737769134,0.23235342358888303,0.019516711515268157,3.903342303053632e-05,1161.767117944415,116.17671179444153
17,48,0.0875,0.2,0.15848931924611143,0.06309573444801933,0.002,0.01656384766101837,0.004444562299008525,0.044445622990085254,0.2282564385936889,0.019471793770164492,3.894358754032899e-05,1141.2821929684444,114.12821929684443
17,49,0.0875,0.2,0.15848931924611143,0.1,0.002,0.016011670231819153,0.004302343300759963,0.043023433007599636,0.2217590104906191,0.019400985291382164,3.880197058276433e-05,1108.7950524530954,110.87950524530952
17,50,0.0875,0.2,0.15848931924611143,0.15848931924611143,0.002,0.015147477388381958,0.004080020731602153,0.04080020731602153,0.21150630210405394,0.019290303366917744,3.858060673383549e-05,1057.5315105202696,105.75315105202696
17,51,0.0875,0.2,0.15848931924611143,0.25118864315095807,0.002,0.013821899890899658,0.0037395384637674,0.037395384637674,0.19557423057570397,0.019120813886162158,3.824162777232432e-05,977.8711528785198,97.78711528785198
17,52,0.0875,0.2,0.15848931924611143,0.3981071705534973,0.002,0.01187986135482788,0.003241697936832068,0.032416979368320685,0.1717636230122955,0.01887301792999566,3.774603585999132e-05,858.8181150614776,85.88181150614774
17,53,0.0875,0.2,0.15848931924611143,0.6309573444801934,0.002,0.00928013026714325,0.002576696721945652,0.02576696721945652,0.13896533161426086,0.01854201110459716,3.708402220919432e-05,694.8266580713043,69.48266580713043
17,54,0.0875,0.2,0.15848931924611143,1.0,0.002,0.00624452531337738,0.0018014073251503536,0.018014073251503535,0.09921903961314468,0.01815586335217561,3.631172670435122e-05,496.09519806572337,49.60951980657234
18,19,0.0875,0.0875,0.25118864315095807,0.3981071705534973,0.002,0.0008496418595314026,0.00021799959007672695,0.0021799959007672695,0.012824013160019935,0.01699932675961072,3.399865351922144e-05,64.12006580009968,6.412006580009969
18,20,0.0875,0.0875,0.25118864315095807,0.6309573444801934,0.002,0.001987021416425705,0.0005093335420958555,0.0050933354209585545,0.030219028934357642,0.01685472895910188,3.370945791820376e-05,151.09514467178823,15.109514467178823
18,21,0.0875,0.0875,0.25118864315095807,1.0,0.002,0.003315102308988571,0.0008493683067210574,0.008493683067210574,0.050902998860879914,0.016686017046705193,3.3372034093410385e-05,254.5149943043996,25.451499430439963
18,22,0.0875,0.125,0.25118864315095807,0.01,0.002,0.007013533264398575,0.0018656053241506304,0.018656053241506303,0.10343260735172471,0.0180369167124116,3.60738334248232e-05,517.1630367586235,51.716303675862356
18,23,0.0875,0.125,0.25118864315095807,0.015848931924611134,0.002,0.0069585032761096954,0.0018514006512746763,0.018514006512746765,0.10268529652704222,0.01802985153562963,3.605970307125926e-05,513.4264826352112,51.34264826352112
18,24,0.0875,0.125,0.25118864315095807,0.025118864315095794,0.002,0.006871271878480911,0.0018288918907362894,0.018288918907362894,0.10149990473868031,0.01801865622874149,3.603731245748298e-05,507.4995236934015,50.74995236934015
18,25,0.0875,0.125,0.25118864315095807,0.039810717055349734,0.002,0.006733063608407974,0.0017932420816930508,0.017932420816930507,0.0996194389931306,0.01800092531957248,3.600185063914496e-05,498.097194965653,49.8097194965653
18,26,0.0875,0.125,0.25118864315095807,0.06309573444801933,0.002,0.0065143294632434845,0.0017368522100787104,0.017368522100787105,0.09663738944548643,0.017972880062726408,3.594576012545282e-05,483.18694722743214,48.31869472274321
18,27,0.0875,0.125,0.25118864315095807,0.1,0.002,0.006169218569993973,0.0016479536194410583,0.016479536194410584,0.09191723149299236,0.01792866900660184,3.5857338013203675e-05,459.5861574649618,45.95861574649617
