a1_1,a1_2,gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.1625,0.2,0.01,0.002,0.00546448677778244,0.0014669764892630132,0.014669764892630131,0.06932370543176007,0.0211612532845212,4.23225065690424e-05,346.61852715880036,34.66185271588004
0.1625,0.2,0.015848931924611134,0.002,0.005447976291179657,0.0014627155576803622,0.014627155576803622,0.06918939664978746,0.021140747405041217,4.228149481008244e-05,345.9469832489374,34.59469832489374
0.1625,0.2,0.025118864315095794,0.002,0.0054218098521232605,0.0014559642981490158,0.014559642981490158,0.06897606102001243,0.021108255191994635,4.221651038398927e-05,344.88030510006206,34.488030510006205
0.1625,0.2,0.039810717055349734,0.002,0.005380347371101379,0.0014452714817873632,0.014452714817873632,0.06863682278716397,0.021056794634405032,4.2113589268810066e-05,343.1841139358198,34.31841139358198
0.1625,0.2,0.06309573444801933,0.002,0.005314730107784271,0.0014283570478308269,0.014283570478308269,0.06809677950272718,0.02097539793014181,4.1950795860283624e-05,340.48389751363584,34.04838975136359
0.1625,0.2,0.1,0.002,0.005211196839809418,0.001401691879864136,0.01401691879864136,0.06723683294647878,0.020847083636135827,4.1694167272271654e-05,336.18416473239387,33.61841647323939
0.1625,0.2,0.15848931924611143,0.002,0.005049161612987518,0.0013600068585597144,0.013600068585597144,0.0658710181131462,0.02064651340630017,4.1293026812600337e-05,329.355090565731,32.9355090565731
0.1625,0.2,0.25118864315095807,0.002,0.004800610244274139,0.0012961646028875964,0.012961646028875964,0.06372686264448445,0.020339375721641295,4.067875144328259e-05,318.6343132224222,31.86343132224222
0.1625,0.2,0.3981071705534973,0.002,0.004436485469341278,0.0012028088252696984,0.012028088252696982,0.060472026934497526,0.019890334196546185,3.978066839309237e-05,302.3601346724877,30.23601346724877
0.1625,0.2,0.6309573444801934,0.002,0.003949031233787537,0.0010780733509273505,0.010780733509273504,0.05588623652211033,0.019290498305442896,3.858099661088579e-05,279.43118261055173,27.943118261055172
0.1625,0.2,1.0,0.002,0.0033798590302467346,0.0009325323690100991,0.009325323690100992,0.0501611569877582,0.01859072686935198,3.718145373870396e-05,250.805784938791,25.0805784938791
