state_id,state_index,a1,a2,a3,m,gamma,selected_rank,alias_score,nearest_alias_state_id,nearest_selected_rms_snr,nearest_selected_state_id
3P_S00023223,23223,0.1440270549436702,0.025,0.0,1.0506346786456855,0.8278463282356238,108,0.29346408864235124,PROFILED_CONTINUOUS,1.4803991342189546,3P_S00013993
3P_S00033897,33897,0.15455690848775452,0.025,0.0,0.6474224393275878,0.4424991948703997,109,0.025083920496996332,PROFILED_CONTINUOUS,1.385956743933033,3P_S00021228
3P_S00026506,26506,0.12864165387486026,0.025,0.0,0.7360792449277462,0.7478925806464435,110,0.025042642175724477,PROFILED_CONTINUOUS,1.3798487201365799,3P_S00026505
3P_S00043769,43769,0.09232318280069415,0.025,0.0,1.1994271003025299,0.7552931056133362,111,0.1089950430365532,PROFILED_CONTINUOUS,2.1395999327707242,3P_S00006594
3P_S00011959,11959,0.1732002252201229,0.025,0.0,0.7129955128732295,0.26481162087987775,112,0.026554221780457896,PROFILED_CONTINUOUS,1.312666517994311,3P_S00018228
3P_S00034472,34472,0.1811872793995865,0.025,0.0,1.1149135855124084,0.23516909929079685,113,0.029168125803848824,PROFILED_CONTINUOUS,1.4492917664747549,3P_S00012764
3P_S00021715,21715,0.13639348344059438,0.025,0.0,1.0131506579994558,0.43462750430061986,114,0.027357396714149888,PROFILED_CONTINUOUS,1.3242871169673,3P_S00036220
3P_S00035888,35888,0.19602597323350957,0.025,0.0,1.0119495241019287,0.7515537682312214,115,0.035614899599495355,PROFILED_CONTINUOUS,1.4251058006186774,3P_S00022590
3P_S00021279,21279,0.19917693383251828,0.025,0.0,1.0635990169905893,0.010484620742123222,116,0.08482245309173145,PROFILED_CONTINUOUS,1.4805590133917312,3P_S00000006
3P_S00006696,6696,0.19417249104878598,0.025,0.0,1.044141502533539,0.4541668135274954,117,0.04500484575014967,PROFILED_CONTINUOUS,1.3061139559216735,3P_S00016559
3P_S00030470,30470,0.14474375389884347,0.025,0.0,0.6089882695388329,0.6789903464859723,118,0.026137913698777073,PROFILED_CONTINUOUS,1.3910666489974102,3P_S00013887
3P_S00009965,9965,0.1784585803594373,0.025,0.0,1.0938606262187112,0.7353558736413607,119,0.12940733870149765,PROFILED_CONTINUOUS,1.327630561941535,3P_S00014878
3P_S00032969,32969,0.17355666859046698,0.025,0.0,0.40008612093393037,0.011115156073839096,120,0.02529615538189512,PROFILED_CONTINUOUS,1.5603174486913378,3P_S00014837
3P_S00000063,63,0.12713699098617853,0.025,0.0,1.15480645708641,0.449234964537082,121,0.027610854597702014,PROFILED_CONTINUOUS,1.4286127879029533,3P_S00040793
3P_S00015720,15720,0.19075369337429432,0.025,0.0,1.0466102076844868,0.7121230917099654,122,0.20517548579501435,PROFILED_CONTINUOUS,1.3475533163268067,3P_S00022590
3P_S00008512,8512,0.11240984693833714,0.025,0.0,1.0981324236467875,0.26165738500584546,123,0.025957278431440117,PROFILED_CONTINUOUS,1.30335933790261,3P_S00022681
3P_S00007239,7239,0.16098685785974454,0.025,0.0,0.9718563765246457,0.769458509881718,124,0.02778227470724933,PROFILED_CONTINUOUS,1.3242071042428736,3P_S00044293
3P_S00028010,28010,0.19884314870566017,0.025,0.0,0.5277300369819494,0.011186985854719932,125,0.06984129093054649,PROFILED_CONTINUOUS,1.3330333857938854,3P_S00002852
3P_S00044735,44735,0.16206873228473237,0.025,0.0,0.9813539351919143,0.5253102446352618,126,0.028221180790722476,PROFILED_CONTINUOUS,1.3742635306579338,3P_S00021228
