gamma_1,gamma_2,delta_gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.0014526539259467812,0.00146273335620113,1.007943025434872e-05,0.002,7.82310962677002e-08,1.9731184782085057e-08,1.9731184782085056e-07,1.0957092480184097e-06,0.018007682985033583,3.6015365970067165e-05,0.005478546240092048,0.0005478546240092048
0.00146273335620113,0.0014728827239075019,1.0149367706371957e-05,0.002,7.450580596923828e-08,1.9740963220628057e-08,1.974096322062806e-07,1.0962534560779441e-06,0.018007663384027196,3.6015326768054394e-05,0.00548126728038972,0.0005481267280389719
0.0014728827239075019,0.0014831025143361043,1.0219790428602459e-05,0.002,7.82310962677002e-08,1.9978877221044564e-08,1.9978877221044564e-07,1.109466491296543e-06,0.018007643653750086,3.601528730750017e-05,0.005547332456482714,0.0005547332456482714
0.0014831025143361043,0.0014933932161242517,1.0290701788147382e-05,0.002,7.82310962677002e-08,1.998603923710522e-08,1.9986039237105224e-07,1.1098654359688511e-06,0.018007623797797183,3.601524759559436e-05,0.005549327179844255,0.0005549327179844254
0.0014933932161242517,0.0015037553212997384,1.036210517548668e-05,0.002,7.82310962677002e-08,2.022171336397173e-08,2.022171336397173e-07,1.1229541458173219e-06,0.018007603818278546,3.601520763655709e-05,0.0056147707290866095,0.000561477072908661
0.0015037553212997384,0.001514189325304352,1.0434004004613619e-05,0.002,7.82310962677002e-08,2.008301633154984e-08,2.008301633154984e-07,1.1152532495278062e-06,0.018007583784268647,3.601516756853729e-05,0.0055762662476390315,0.0005576266247639031
0.001514189325304352,0.0015246957270175746,1.0506401713222552e-05,0.002,7.82310962677002e-08,2.050618140439153e-08,2.050618140439153e-07,1.138753795128842e-06,0.01800756361217782,3.601512722435564e-05,0.0056937689756442105,0.0005693768975644209
0.0015246957270175746,0.0015352750287804227,1.0579301762848143e-05,0.002,7.82310962677002e-08,2.0511256485328494e-08,2.0511256485328492e-07,1.139036914772643e-06,0.018007543231750862,3.601508646350172e-05,0.0056951845738632155,0.0005695184573863216
0.0015352750287804227,0.001545927736419477,1.0652707639054225e-05,0.002,8.195638656616211e-08,2.0621961393896782e-08,2.0621961393896781e-07,1.1451859107053108e-06,0.01800752279705911,3.601504559411822e-05,0.005725929553526553,0.0005725929553526553
0.001545927736419477,0.001556654359271062,1.072662285158516e-05,0.002,7.82310962677002e-08,2.088058651568427e-08,2.088058651568427e-07,1.1595492985577896e-06,0.018007502174900956,3.601500434980191e-05,0.005797746492788947,0.0005797746492788947
0.001556654359271062,0.001567455410205595,1.0801050934532803e-05,0.002,8.195638656616211e-08,2.1019436769250813e-08,2.101943676925081e-07,1.1672613374829063e-06,0.018007481353385122,3.6014962706770243e-05,0.005836306687414531,0.0005836306687414532
0.001567455410205595,0.001578331405652118,1.0875995446523205e-05,0.002,8.195638656616211e-08,2.1220313105569496e-08,2.1220313105569497e-07,1.1784178707461437e-06,0.018007460368988926,3.601492073797785e-05,0.005892089353730719,0.0005892089353730719
0.001578331405652118,0.001589282865622978,1.0951459970859941e-05,0.002,8.195638656616211e-08,2.125181389385978e-08,2.125181389385978e-07,1.1801685724880956e-06,0.018007439266964673,3.6014878533929346e-05,0.005900842862440479,0.0005900842862440479
0.001589282865622978,0.0016003103137387001,1.1027448115722089e-05,0.002,8.568167686462402e-08,2.1601514673914565e-08,2.1601514673914567e-07,1.1995897855440146e-06,0.018007417980904425,3.601483596180885e-05,0.005997948927720072,0.0005997948927720071
0.0016003103137387001,0.0016114142772530198,1.11039635143197e-05,0.002,8.195638656616211e-08,2.1355431745240194e-08,2.1355431745240193e-07,1.1859255491765034e-06,0.01800739663638179,3.601479327276358e-05,0.005929627745882516,0.0005929627745882517
0.0016114142772530198,0.0016225952870780871,1.1181009825067274e-05,0.002,8.568167686462402e-08,2.1883504353237336e-08,2.1883504353237335e-07,1.2152523154808856e-06,0.01800737515532142,3.6014750310642845e-05,0.006076261577404429,0.000607626157740443
0.0016225952870780871,0.0016338538778098621,1.1258590731775013e-05,0.002,8.195638656616211e-08,2.1886724493641813e-08,2.1886724493641812e-07,1.2154326066094251e-06,0.018007353410319553,3.6014706820639105e-05,0.006077163033047125,0.0006077163033047125
