a1,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.095,0.025118864315095794,0.039810717055349734,0.002,0.00010503455996513367,2.7101629098609984e-05,0.00027101629098609986,0.001526423224497078,0.017754990007793778,3.550998001558756e-05,7.6321161224853915,0.7632116122485392
0.095,0.039810717055349734,0.06309573444801933,0.002,0.00016623735427856445,4.286998431027423e-05,0.0004286998431027423,0.00241926949919245,0.017720218572004565,3.544043714400913e-05,12.096347495962249,1.209634749596225
0.095,0.06309573444801933,0.1,0.002,0.0002622827887535095,6.758706906201217e-05,0.0006758706906201217,0.0038259720538395495,0.017665332655575794,3.533066531115159e-05,19.129860269197742,1.9129860269197743
0.095,0.1,0.15848931924611143,0.002,0.0004104897379875183,0.00010566133899621537,0.0010566133899621536,0.006010569498350278,0.017579255846757326,3.515851169351465e-05,30.052847491751386,3.005284749175139
0.095,0.15848931924611143,0.25118864315095807,0.002,0.0006296522915363312,0.00016183746849396304,0.0016183746849396303,0.009276280694252974,0.017446374665465635,3.489274933093127e-05,46.38140347126486,4.638140347126487
0.095,0.25118864315095807,0.3981071705534973,0.002,0.0009224675595760345,0.0002366849322622663,0.0023668493226226633,0.013722093961821145,0.017248455878584756,3.4496911757169516e-05,68.61046980910572,6.861046980910571
0.095,0.3981071705534973,0.6309573444801934,0.002,0.0012348704040050507,0.0003163059543074104,0.003163059543074104,0.018634828929704538,0.016973912424986536,3.394782484997307e-05,93.17414464852268,9.317414464852268
0.095,0.6309573444801934,1.0,0.002,0.001441914588212967,0.0003691804564176214,0.003691804564176214,0.022194718303643602,0.016633707685175476,3.3267415370350954e-05,110.973591518218,11.0973591518218
0.11,0.01,0.015848931924611134,0.002,4.8432499170303345e-05,1.25038684643749e-05,0.000125038684643749,0.0006804840394401803,0.018374962144096084,3.674992428819217e-05,3.4024201972009016,0.34024201972009016
0.11,0.015848931924611134,0.025118864315095794,0.002,7.67633318901062e-05,1.98132485095772e-05,0.000198132485095772,0.001079217813594238,0.018358896841770014,3.671779368354003e-05,5.396089067971191,0.5396089067971191
0.11,0.025118864315095794,0.039810717055349734,0.002,0.00012162327766418457,3.138070099913731e-05,0.0003138070099913731,0.0017116638562112774,0.0183334484076784,3.6666896815356804e-05,8.558319281056386,0.8558319281056386
0.11,0.039810717055349734,0.06309573444801933,0.002,0.00019248202443122864,4.963896614215186e-05,0.0004963896614215185,0.0027135237201513993,0.01829317568647687,3.658635137295374e-05,13.567618600757,1.3567618600756999
0.11,0.06309573444801933,0.1,0.002,0.0003036968410015106,7.825870743238864e-05,0.0007825870743238864,0.004292945606978816,0.018229606101965883,3.6459212203931765e-05,21.464728034894076,2.1464728034894076
0.11,0.1,0.15848931924611143,0.002,0.00047530606389045715,0.00012234489850735094,0.0012234489850735096,0.006748234917248261,0.018129911007490493,3.6259822014980985e-05,33.74117458624131,3.3741174586241303
0.11,0.15848931924611143,0.25118864315095807,0.002,0.0007290691137313843,0.00018739058133690017,0.0018739058133690016,0.010424482872738176,0.017976007407231577,3.595201481446316e-05,52.12241436369088,5.212241436369088
0.11,0.25118864315095807,0.3981071705534973,0.002,0.001068122684955597,0.00027405652492140713,0.002740565249214071,0.015442606702941784,0.017746778778559444,3.549355755711889e-05,77.21303351470893,7.721303351470893
0.11,0.3981071705534973,0.6309573444801934,0.002,0.0014298483729362488,0.000366248627014473,0.00366248627014473,0.021013979752294517,0.01742880840905361,3.485761681810722e-05,105.06989876147259,10.50698987614726
0.11,0.6309573444801934,1.0,0.002,0.0016695857048034668,0.0004274722187252306,0.0042747221872523064,0.025094056340981902,0.017034799512548802,3.406959902509761e-05,125.47028170490948,12.547028170490949
0.125,0.01,0.015848931924611134,0.002,5.5029988288879395e-05,1.4208524559064793e-05,0.00014208524559064794,0.0007494262532936068,0.01895920311921371,3.791840623842742e-05,3.7471312664680343,0.3747131266468034
