a1_1,a1_2,gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.125,0.14,0.6309573444801934,0.002,0.0015796124935150146,0.00043122934397260267,0.0043122934397260265,0.024101572632975625,0.017892166230787668,3.5784332461575334e-05,120.50786316487812,12.050786316487812
0.125,0.14,1.0,0.002,0.0013519451022148132,0.00037301296221936434,0.0037301296221936434,0.0214610892089116,0.017380896122666162,3.476179224533233e-05,107.30544604455802,10.730544604455803
0.14,0.155,0.01,0.002,0.0021857991814613342,0.0005867908027242004,0.005867908027242004,0.029570033583006222,0.019844103358118155,3.968820671623631e-05,147.8501679150311,14.78501679150311
0.14,0.155,0.015848931924611134,0.002,0.002179190516471863,0.0005850859833791984,0.005850859833791984,0.02950892653572576,0.01982742349745758,3.965484699491516e-05,147.5446326786288,14.75446326786288
0.14,0.155,0.025118864315095794,0.002,0.002168722450733185,0.0005823856366948833,0.005823856366948833,0.02941194043046608,0.0198009933439014,3.96019866878028e-05,147.05970215233037,14.705970215233037
0.14,0.155,0.039810717055349734,0.002,0.0021521374583244324,0.0005781084094653389,0.005781084094653389,0.02925778055022105,0.019759134103593895,3.951826820718779e-05,146.28890275110524,14.628890275110525
0.14,0.155,0.06309573444801933,0.002,0.0021258890628814697,0.0005713426546339012,0.005713426546339011,0.02901258542190069,0.019692924512774122,3.938584902554825e-05,145.0629271095034,14.506292710950342
0.14,0.155,0.1,0.002,0.002084478735923767,0.0005606767660627411,0.005606767660627411,0.028622677919639884,0.019588550296966593,3.917710059393319e-05,143.11338959819943,14.311338959819944
0.14,0.155,0.15848931924611143,0.002,0.0020196661353111267,0.0005440028041020798,0.005440028041020798,0.02800471375520987,0.01942540133983251,3.885080267966502e-05,140.0235687760494,14.002356877604935
0.14,0.155,0.25118864315095807,0.002,0.0019202455878257751,0.000518465981045698,0.00518465981045698,0.027037843817333124,0.01917556682953119,3.835113365906238e-05,135.18921908666562,13.518921908666561
0.14,0.155,0.3981071705534973,0.002,0.0017745904624462128,0.0004811236020693346,0.004811236020693346,0.0255776674900039,0.01881030012831953,3.762060025663906e-05,127.88833745001949,12.78883374500195
0.14,0.155,0.6309573444801934,0.002,0.0015796124935150146,0.00043122954664764576,0.004312295466476458,0.023535696105315827,0.018322362114042052,3.66447242280841e-05,117.67848052657914,11.767848052657913
0.14,0.155,1.0,0.002,0.0013519413769245148,0.00037301286880290303,0.00373012868802903,0.02101112822406531,0.017753109915138635,3.550621983027727e-05,105.05564112032654,10.505564112032655
0.155,0.17,0.01,0.002,0.0021857917308807373,0.0005867903855270893,0.005867903855270894,0.028722795945156185,0.020429431265936552,4.085886253187311e-05,143.61397972578092,14.36139797257809
0.155,0.17,0.015848931924611134,0.002,0.002179190516471863,0.0005850863700969942,0.005850863700969943,0.02866517572348292,0.02041105122609394,4.0822102452187884e-05,143.3258786174146,14.332587861741457
0.155,0.17,0.025118864315095794,0.002,0.002168722450733185,0.0005823858316748858,0.005823858316748858,0.02857363884172696,0.020381927373716573,4.076385474743315e-05,142.8681942086348,14.286819420863479
0.155,0.17,0.039810717055349734,0.002,0.0021521449089050293,0.000578108763181029,0.005781087631810291,0.028428127363820922,0.02033580178470565,4.0671603569411306e-05,142.1406368191046,14.21406368191046
0.155,0.17,0.06309573444801933,0.002,0.0021258890628814697,0.0005713429075606051,0.005713429075606051,0.028196580570392173,0.020262843791794525,4.052568758358905e-05,140.98290285196083,14.098290285196084
0.155,0.17,0.1,0.002,0.002084478735923767,0.0005606768302456061,0.00560676830245606,0.02782814737711527,0.020147831713248857,4.029566342649772e-05,139.14073688557633,13.914073688557634
0.155,0.17,0.15848931924611143,0.002,0.0020196661353111267,0.0005440029065082123,0.005440029065082123,0.027243660871263373,0.019968054553271393,3.993610910654279e-05,136.21830435631685,13.621830435631685
0.155,0.17,0.25118864315095807,0.002,0.0019202455878257751,0.0005184659147211469,0.005184659147211469,0.026327746138745316,0.019692757290687514,3.938551458137503e-05,131.6387306937266,13.163873069372658
0.155,0.17,0.3981071705534973,0.002,0.0017745941877365112,0.00048112324391639914,0.004811232439163992,0.024941245596559424,0.019290265277800273,3.8580530555600545e-05,124.70622798279712,12.470622798279711
0.155,0.17,0.6309573444801934,0.002,0.0015796124935150146,0.0004312293876405933,0.004312293876405933,0.02299570516892192,0.01875260551798117,3.750521103596234e-05,114.97852584460959,11.49785258446096
0.155,0.17,1.0,0.002,0.0013519413769245148,0.0003730129743112048,0.003730129743112048,0.020579621291667793,0.018125356585751602,3.62507131715032e-05,102.89810645833899,10.289810645833898
0.17,0.185,0.01,0.002,0.0021857991814613342,0.0005867907914263908,0.005867907914263908,0.027922685543015704,0.021014840801126474,4.202968160225295e-05,139.61342771507853,13.961342771507852
0.17,0.185,0.015848931924611134,0.002,0.002179190516471863,0.000585086153630127,0.0058508615363012705,0.02786819882721477,0.02099476027344686,4.1989520546893724e-05,139.34099413607385,13.934099413607385
0.17,0.185,0.025118864315095794,0.002,0.0021687299013137817,0.0005823858645667712,0.0058238586456677115,0.027781685479429424,0.0209629421151568,4.19258842303136e-05,138.9084273971471,13.890842739714712
0.17,0.185,0.039810717055349734,0.002,0.0021521374583244324,0.0005781082350461811,0.005781082350461811,0.027644082761310883,0.020912548990602402,4.18250979812048e-05,138.2204138065544,13.822041380655442
0.17,0.185,0.06309573444801933,0.002,0.0021258965134620667,0.0005713430981054503,0.005713430981054503,0.02742511641784847,0.020832841305046056,4.166568261009211e-05,137.12558208924233,13.712558208924234
0.17,0.185,0.1,0.002,0.002084478735923767,0.0005606768247435834,0.005606768247435834,0.027076433869298564,0.020707188673739045,4.1414377347478094e-05,135.3821693464928,13.538216934649279
0.17,0.185,0.15848931924611143,0.002,0.00201965868473053,0.0005440024020680223,0.005440024020680224,0.02652275658561681,0.020510779123276833,4.1021558246553665e-05,132.61378292808405,13.261378292808404
0.17,0.185,0.25118864315095807,0.002,0.0019202455878257751,0.0005184661466325647,0.005184661466325647,0.02565392416282306,0.020210013226121214,4.042002645224243e-05,128.26962081411529,12.82696208141153
0.17,0.185,0.3981071705534973,0.002,0.0017745941877365112,0.0004811235366241482,0.004811235366241482,0.02433568837373199,0.019770286717817862,3.9540573435635724e-05,121.67844186865997,12.167844186865997
0.17,0.185,0.6309573444801934,0.002,0.0015796124935150146,0.0004312293763349177,0.004312293763349177,0.02247989253846928,0.019182893138700093,3.8365786277400186e-05,112.39946269234639,11.239946269234638
0.17,0.185,1.0,0.002,0.0013519413769245148,0.00037301287256912864,0.0037301287256912867,0.02016543681642522,0.018497634143253516,3.699526828650703e-05,100.82718408212611,10.08271840821261
0.185,0.2,0.01,0.002,0.0021857917308807373,0.0005867904553730824,0.005867904553730823,0.027165815580794492,0.021600325365822168,4.320065073164434e-05,135.82907790397243,13.582907790397247
0.185,0.2,0.015848931924611134,0.002,0.002179190516471863,0.0005850862845592194,0.0058508628455921936,0.027114261593119585,0.02157854391681788,4.3157087833635764e-05,135.57130796559792,13.557130796559793
0.185,0.2,0.025118864315095794,0.002,0.002168722450733185,0.0005823856579714028,0.005823856579714027,0.027032344216369665,0.021544030858364635,4.308806171672927e-05,135.1617210818483,13.516172108184831
0.185,0.2,0.039810717055349734,0.002,0.0021521374583244324,0.0005781088826980948,0.0057810888269809475,0.02690208680500946,0.02148936946372668,4.297873892745336e-05,134.51043402504732,13.451043402504732
0.185,0.2,0.06309573444801933,0.002,0.0021258890628814697,0.0005713423809816305,0.005713423809816305,0.02669461169757105,0.021402910349642472,4.280582069928495e-05,133.47305848785524,13.347305848785528
0.185,0.2,0.1,0.002,0.002084478735923767,0.000560676668532981,0.00560676668532981,0.026364170599307696,0.021266615098739502,4.2533230197479006e-05,131.82085299653846,13.182085299653846
0.185,0.2,0.15848931924611143,0.002,0.0020196661353111267,0.0005440030760754214,0.005440030760754214,0.025838994618746888,0.0210535697732114,4.21071395464228e-05,129.19497309373443,12.919497309373442
0.185,0.2,0.25118864315095807,0.002,0.0019202455878257751,0.000518465688728107,0.00518465688728107,0.02501362693614125,0.020727329549278414,4.1454659098556826e-05,125.06813468070625,12.506813468070623
0.185,0.2,0.3981071705534973,0.002,0.0017745941877365112,0.0004811235846612525,0.004811235846612525,0.02375876622769539,0.02025036064795363,4.050072129590726e-05,118.79383113847697,11.879383113847696
0.185,0.2,0.6309573444801934,0.002,0.0015796124935150146,0.00043122932626792326,0.0043122932626792326,0.02198666409220915,0.01961322210861114,3.9226444217222285e-05,109.93332046104575,10.993332046104575
0.185,0.2,1.0,0.002,0.0013519451022148132,0.00037301294075399373,0.0037301294075399376,0.019767573526338015,0.018869940726766336,3.7739881453532674e-05,98.83786763169007,9.883786763169006
