state_id,candidate_id,a1,a2,a3,m,gamma,continuous_mahalanobis
79,40549,0.06599566135555505,0.025,0.0,1.0667958390712737,0.7473461484536529,2.724789147195999
80,22183,0.1866088965907693,0.025,0.0,1.1554567733593286,0.5996333467587829,2.5771407699862037
81,3028,0.1075527373701334,0.025,0.0,0.7876912052556873,0.45366798697039484,3.0051205333237756
82,33225,0.04953570812940598,0.025,0.0,1.5106501661334186,0.4178712450712919,1.7827896130437713
83,29647,0.1699622502550483,0.025,0.0,1.4607332635857164,0.5913680160790682,2.4471125609869175
84,8363,0.10864105205982924,0.025,0.0,1.6067909441981465,0.26407178851775825,2.7445035553483295
85,35956,0.10615937262773514,0.025,0.0,0.9704411086626351,0.31239234752021733,3.8956440951211673
86,40306,0.07557534463703633,0.025,0.0,0.7315165200550109,0.8574774848949164,1.860271059759532
87,33261,0.08172084745019675,0.025,0.0,1.7910281242337078,0.44409829335287215,1.5075107292615122
88,4725,0.056613901071250444,0.025,0.0,1.2411800171621143,0.8573323744535446,2.313598089369602
89,14258,0.079970015399158,0.025,0.0,0.8410109438281507,0.5063328862190246,3.243903903043691
90,28051,0.128901575691998,0.025,0.0,1.2294321334455163,0.541717148795724,3.1242914456839217
91,25671,0.17913703713566065,0.025,0.0,1.1993273973464966,0.9643136917706578,1.8173652805313443
92,16571,0.11822973992675544,0.025,0.0,1.0656912699248642,0.8306148116663098,2.2045650571855293
93,37664,0.15323784258216622,0.025,0.0,0.9027032150048763,0.1426704911608249,3.1975579411713584
94,9679,0.16970659270882607,0.025,0.0,1.0062474832776933,0.3320008604880422,3.71419702129855
95,2815,0.15765177365392447,0.025,0.0,1.812023457782343,0.27942549941129985,2.612944196238702
96,39331,0.14183257445693018,0.025,0.0,1.7478446990437806,0.773288323506713,1.6493972878857772
97,47084,0.13057356402277948,0.025,0.0,0.6724402491282672,0.9107683049421758,1.539520595401033
98,1261,0.08245995752513409,0.025,0.0,1.4679204328916966,0.26466981576755644,2.4163194674159247
99,8855,0.19974128026515248,0.025,0.0,1.1727025402802973,0.08417272473685443,2.249329735982762
100,19222,0.03996869828552008,0.025,0.0,0.9237337247934192,0.2472568006813526,1.774183309503929
101,27349,0.05610156692564488,0.025,0.0,1.016372011322528,0.6131047396082431,2.6202837906951864
102,12530,0.07755973413586617,0.025,0.0,0.6924165169987827,0.29303800671361385,3.012621552769812
103,43032,0.1839224910363555,0.025,0.0,0.5777024433296174,0.30053672903217377,1.579933774289956
104,31751,0.176309216581285,0.025,0.0,1.5185853179637343,0.3798809156939387,3.051849426799455
105,2163,0.13648762814700605,0.025,0.0,1.5194297997746617,0.5906131587270648,2.477929476571346
106,44842,0.05560403168201447,0.025,0.0,0.8382208211906255,0.9504472944419831,2.063474423637174
107,46604,0.13524092510342597,0.025,0.0,0.7395282571204007,0.4381064302753657,2.5835534158777085
108,44781,0.08237556461244822,0.025,0.0,1.457452369388193,0.5629764153156429,2.9208393698301975
109,28139,0.11163795087486506,0.025,0.0,1.1813534618727863,0.36414144254289565,4.170739296497218
110,2787,0.1382396697998047,0.025,0.0,1.4707427293714135,0.45624744550324975,3.0601584994477657
111,27215,0.1704070469364524,0.025,0.0,1.441273593455553,0.13220633691176772,2.582456849258436
112,29709,0.07719364892691374,0.025,0.0,1.1794876644387842,0.32839670750312505,2.9861555585916393
113,19304,0.1992935059592128,0.025,0.0,0.7522507895622402,0.21240035434253515,3.4030681716291924
114,8042,0.05305072031915188,0.025,0.0,0.7999898584466427,0.3494720423780382,2.4885156333195186
115,41459,0.13531236872076988,0.025,0.0,1.4860843775141985,0.2809782867040485,3.8148875456466502
116,38055,0.1859734693542123,0.025,0.0,1.8802469318173827,0.1415162313450128,2.225807742146123
117,16295,0.18720248006284237,0.025,0.0,1.2459466664027423,0.3573693060036749,3.5097188255136764
118,20754,0.082378682307899,0.025,0.0,0.9888823562208563,0.08845988657325506,1.5090251952627896
119,2999,0.19033810310065746,0.025,0.0,1.4611432947404683,0.7985109532438218,1.9230013760706297
120,44843,0.10639326926320791,0.025,0.0,1.5249200528115034,0.4651778943650425,3.054295751270282
121,2675,0.13624744210392237,0.025,0.0,1.1784810661245138,0.3368258820101619,4.0876488910210815
122,20394,0.05460125803947449,0.025,0.0,0.5700618693418801,0.5282039345242083,1.5886236169864334
123,10388,0.10998419299721718,0.025,0.0,0.9826287583913654,0.6181234411802143,2.8595829750329593
124,44136,0.19907684214413168,0.025,0.0,0.9377834078390151,0.11941853101365267,3.1741874531746577
125,25235,0.1290005963295698,0.025,0.0,1.1534969360101968,0.08526426210068165,1.7862682557336078
126,39610,0.06931502111256123,0.025,0.0,0.7937075228523464,0.739675574656576,2.5685458426132888
127,40983,0.1982296319678426,0.025,0.0,1.5152479657158255,0.5031621845811606,2.703026204081429
128,5786,0.06694284845143557,0.025,0.0,0.550783684886992,0.20062946851365268,2.2227479613595147
129,41948,0.14246702697128058,0.025,0.0,0.8900271215010435,0.7239220519270748,2.15737131763161
130,14281,0.04990109298378229,0.025,0.0,1.2291932797338814,0.6906463104020805,2.2383104571807766
131,47776,0.15596133768558504,0.025,0.0,0.5736077325511724,0.21580644588917494,1.957340463069339
132,32580,0.11822067089378835,0.025,0.0,0.9401861285045743,0.2202450901735574,3.5889942801791053
133,29079,0.19847327060997488,0.025,0.0,1.4098058799933642,0.13728992673568427,2.9732041968498493
134,4243,0.1295823834836483,0.025,0.0,1.1111993682663888,0.9417680968157947,2.114825232257217
135,41549,0.08019775692373515,0.025,0.0,1.2166167601943016,0.6792907077260315,2.878939424383876
136,31955,0.12603933941572906,0.025,0.0,1.824081555902958,0.23650878372602166,2.52320830554955
137,36555,0.10165121741592885,0.025,0.0,1.2139174712076783,0.5952801921032369,3.0914392069268475
138,954,0.07025132942944766,0.025,0.0,0.8039603385329247,0.6110399245657027,2.7377356522148797
139,37560,0.17814616542309525,0.025,0.0,0.8828514836262912,0.4701595993898809,2.7165779540771964
140,34479,0.16336154285818338,0.025,0.0,1.099079910032451,0.8646490460261702,2.022856336402915
141,44008,0.19831418078392746,0.025,0.0,0.9893197870347649,0.26320666991174224,4.037148980336552
142,30199,0.1936690904200077,0.025,0.0,1.7677895900048315,0.2310081331152469,3.0619827020105967
