threshold_mahalanobis,axis,lo,hi,prebank_count,eligible_count,selected_count,eligible_fraction_of_prebank_bin,selected_fraction_of_eligible_bin
0.25,m,1.1471428571428572,1.4314285714285715,294,294,44,1.0,0.14965986394557823
0.25,m,1.4314285714285715,1.715714285714286,294,294,43,1.0,0.14625850340136054
0.25,m,1.715714285714286,2.0,294,294,40,1.0,0.1360544217687075
0.25,gamma,0.01,0.15142857142857144,294,248,33,0.8435374149659864,0.13306451612903225
0.25,gamma,0.15142857142857144,0.29285714285714287,294,254,39,0.8639455782312925,0.15354330708661418
0.25,gamma,0.29285714285714287,0.4342857142857143,294,266,36,0.9047619047619048,0.13533834586466165
0.25,gamma,0.4342857142857143,0.5757142857142857,294,272,34,0.9251700680272109,0.125
0.25,gamma,0.5757142857142857,0.7171428571428572,294,264,34,0.8979591836734694,0.12878787878787878
0.25,gamma,0.7171428571428572,0.8585714285714285,294,269,41,0.9149659863945578,0.1524163568773234
0.25,gamma,0.8585714285714285,1.0,294,288,43,0.9795918367346939,0.14930555555555555
0.5,a1,0.0,0.01,0,0,0,0.0,0.0
0.5,a1,0.01,0.025,115,71,12,0.6173913043478261,0.16901408450704225
0.5,a1,0.025,0.05,264,209,25,0.7916666666666666,0.11961722488038277
0.5,a1,0.05,0.1,600,516,72,0.86,0.13953488372093023
0.5,a1,0.1,0.15,543,462,67,0.850828729281768,0.14502164502164502
0.5,a1,0.15,0.2,536,460,84,0.8582089552238806,0.1826086956521739
0.5,m,0.01,0.2942857142857143,294,2,2,0.006802721088435374,1.0
0.5,m,0.2942857142857143,0.5785714285714286,294,267,38,0.9081632653061225,0.14232209737827714
0.5,m,0.5785714285714286,0.862857142857143,294,287,41,0.9761904761904762,0.14285714285714285
0.5,m,0.862857142857143,1.1471428571428572,294,291,44,0.9897959183673469,0.15120274914089346
0.5,m,1.1471428571428572,1.4314285714285715,294,292,44,0.9931972789115646,0.1506849315068493
0.5,m,1.4314285714285715,1.715714285714286,294,291,46,0.9897959183673469,0.15807560137457044
0.5,m,1.715714285714286,2.0,294,288,45,0.9795918367346939,0.15625
0.5,gamma,0.01,0.15142857142857144,294,221,34,0.7517006802721088,0.15384615384615385
0.5,gamma,0.15142857142857144,0.29285714285714287,294,252,35,0.8571428571428571,0.1388888888888889
0.5,gamma,0.29285714285714287,0.4342857142857143,294,252,40,0.8571428571428571,0.15873015873015872
0.5,gamma,0.4342857142857143,0.5757142857142857,294,253,37,0.8605442176870748,0.14624505928853754
0.5,gamma,0.5757142857142857,0.7171428571428572,294,252,37,0.8571428571428571,0.14682539682539683
0.5,gamma,0.7171428571428572,0.8585714285714285,294,246,40,0.8367346938775511,0.16260162601626016
0.5,gamma,0.8585714285714285,1.0,294,242,37,0.8231292517006803,0.15289256198347106
0.75,a1,0.0,0.01,0,0,0,0.0,0.0
0.75,a1,0.01,0.025,115,50,9,0.43478260869565216,0.18
0.75,a1,0.025,0.05,264,175,20,0.6628787878787878,0.11428571428571428
0.75,a1,0.05,0.1,600,502,72,0.8366666666666667,0.14342629482071714
0.75,a1,0.1,0.15,543,459,72,0.8453038674033149,0.1568627450980392
0.75,a1,0.15,0.2,536,452,87,0.8432835820895522,0.19247787610619468
0.75,m,0.01,0.2942857142857143,294,0,0,0.0,0.0
0.75,m,0.2942857142857143,0.5785714285714286,294,245,35,0.8333333333333334,0.14285714285714285
0.75,m,0.5785714285714286,0.862857142857143,294,280,40,0.9523809523809523,0.14285714285714285
0.75,m,0.862857142857143,1.1471428571428572,294,287,45,0.9761904761904762,0.156794425087108
0.75,m,1.1471428571428572,1.4314285714285715,294,287,51,0.9761904761904762,0.17770034843205576
0.75,m,1.4314285714285715,1.715714285714286,294,287,45,0.9761904761904762,0.156794425087108
0.75,m,1.715714285714286,2.0,294,252,44,0.8571428571428571,0.1746031746031746
0.75,gamma,0.01,0.15142857142857144,294,183,32,0.6224489795918368,0.17486338797814208
0.75,gamma,0.15142857142857144,0.29285714285714287,294,246,37,0.8367346938775511,0.15040650406504066
0.75,gamma,0.29285714285714287,0.4342857142857143,294,250,42,0.8503401360544217,0.168
