state_id,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_trigger_grid,recovery_alias_a1_grid,recovery_alias_m_grid,recovery_alias_gamma_grid
36331,0.08669416368938984,0.025,0.0,0.44440781548619274,0.051872874538128555,0.0010561976852058285,gamma_low,0.08618570039012705,0.448,0.04168693834703355
36332,0.05526323337107897,0.025,0.0,1.093233948200941,0.020645006764078995,0.0011115662023857115,gamma_low,0.055058555999250504,1.096,0.012589254117941675
36333,0.1813057019375265,0.025,0.0,0.5257962130010128,0.5875730967986559,0.004997499334879099,a1_high,0.18744396232225624,0.496,0.6606934480075961
36334,0.13998823580332104,0.025,0.0,0.8711697690188884,0.056266555586292025,0.004407794448237215,gamma_high,0.14129208104207291,0.8640000000000001,0.07585775750291836
36335,0.11648482079617681,0.025,0.0,0.7103848658502102,0.21364639238909186,0.0055305003084698936,gamma_low,0.11420607407712864,0.728,0.17378008287493754
36336,0.12343166265636683,0.025,0.0,0.8832201518118381,0.015983690036248863,0.0019004746158289506,gamma_high,0.12395575353262693,0.88,0.025118864315095794
36337,0.1377099952660501,0.025,0.0,0.7475329048931598,0.42292291376639096,0.008566423325110374,m_high,0.13287204031540523,0.784,0.34673685045253166
36338,0.18842136007733645,0.025,0.0,1.0553088523447514,0.04396704797431911,0.00667802215644508,gamma_high,0.19010577920322755,1.048,0.06309573444801933
36339,0.05285397390834987,0.025,0.0,0.512968773394823,0.15515195565537593,0.002436908522590001,gamma_low,0.05168554122287928,0.528,0.1148153621496883
36340,0.07972386116161943,0.025,0.0,1.1742948584258555,0.6932505059702646,0.005464187727238731,m_low,0.08171444120650867,1.1360000000000001,0.758577575029184
36341,0.1779388040304184,0.025,0.0,0.4072599552571774,0.01830136502365991,0.0021324787992851274,gamma_low,0.17759837348002647,0.40800000000000003,0.01513561248436208
36342,0.14599635801278055,0.025,0.0,0.9901092402637005,0.1906879681462834,0.009161133429709067,gamma_low,0.1432954503934122,1.008,0.1513561248436208
36343,0.09407046870328487,0.025,0.0,0.6289215050637722,0.06714178289161492,0.0037787498330970055,gamma_low,0.09263836222293342,0.64,0.03630780547701014
36344,0.10347434491850437,0.025,0.0,1.0147759266197682,0.25326469576077576,0.008055664559386248,gamma_low,0.10086698162976508,1.04,0.19952623149688797
36345,0.15525031662546102,0.025,0.0,0.5536980606615544,0.08908417570706786,0.0027214179874247854,gamma_low,0.15389738545237672,0.56,0.07244359600749899
36346,0.16846168562769892,0.025,0.0,0.8489495284855366,0.9292482078677022,0.0041560299419570075,m_low,0.17214946736335757,0.8160000000000001,1.0
36347,0.07039666036143899,0.025,0.0,0.7820000804960727,0.024501337928578594,0.0006852874953121875,gamma_low,0.0702171715305371,0.784,0.019054607179632473
36348,0.062110225809738046,0.025,0.0,0.9308246932923794,0.032836625853636545,0.0012871438492759856,gamma_high,0.062310383615402025,0.928,0.039810717055349734
36349,0.1978229519445449,0.025,0.0,0.6883991710841656,0.11576498748533091,0.005065023322763693,gamma_low,0.19584209629376867,0.696,0.09549925860214359
36350,0.12838050117716193,0.025,0.0,1.1087728045880794,0.012048388338876293,0.0037773129100665006,gamma_high,0.1292287729322996,1.104,0.026302679918953815
36351,0.11395682860165836,0.025,0.0,0.4729757003486157,0.3183825770651142,0.004680647622859721,gamma_low,0.11036109434393951,0.496,0.26302679918953814
36352,0.1141143323853612,0.025,0.0,0.9283345080912113,0.014547484561221513,0.004642834353746404,gamma_high,0.11431600537553517,0.928,0.018197008586099836
36353,0.12824130794033411,0.025,0.0,0.689131636172533,0.5515981322680982,0.008579909407816007,a1_high,0.13429583275201742,0.64,0.6606934480075961
36354,0.19766545710153882,0.025,0.0,1.1062825240194796,0.05288376620853685,0.0056248700323538086,gamma_low,0.1961417714195966,1.112,0.03630780547701014
36355,0.06224941010586918,0.025,0.0,0.4737080700695515,0.15038448701501078,0.0037129871913187213,gamma_low,0.06017430773003427,0.496,0.09120108393559097
36356,0.07022342095151544,0.025,0.0,1.0139458052814008,0.6197087062974477,0.0038267288889946138,m_low,0.07224963615169645,0.9760000000000001,0.6918309709189366
36357,0.16857999339699747,0.025,0.0,0.5558952771127224,0.02344389099802413,0.001900602448466441,gamma_high,0.16955521542294144,0.552,0.034673685045253165
36358,0.15542354709468784,0.025,0.0,0.8481195025146007,0.2252727815565249,0.009952393890697155,gamma_high,0.1592060343681196,0.8240000000000001,0.2754228703338166
36359,0.10335604608990254,0.025,0.0,0.7841973923146724,0.06391857843847859,0.0033491448716782305,gamma_low,0.1023671312629768,0.792,0.04365158322401661
36360,0.09422568366862835,0.025,0.0,1.171999979764223,0.3019067148435157,0.010248123038544206,gamma_low,0.09147167210082609,1.2,0.2398832919019491
36361,0.14585945359431207,0.025,0.0,0.40818773880600934,0.085575584780354,0.0025738426183497475,gamma_low,0.14382696858063837,0.41600000000000004,0.06309573444801933
36362,0.17778359800577165,0.025,0.0,0.9878142662346363,0.8232164934430709,0.008047915026504331,a1_low,0.17153803073948398,1.04,0.7244359600749902
36363,0.07986075663939118,0.025,0.0,0.6298491932451725,0.031104507070142073,0.0006608048782626918,gamma_low,0.07962606802655973,0.632,0.025118864315095794
36364,0.052678445680066945,0.025,0.0,0.8825853370130061,0.039853657898587,0.0012085497442184422,gamma_high,0.052877867185439735,0.88,0.04786300923226385
36365,0.1885419566649944,0.025,0.0,0.7499254398047923,0.11322339625510283,0.005988884747523141,gamma_low,0.18616167477710066,0.76,0.08709635899560805
36366,0.13788551455363635,0.025,0.0,1.0546741329133509,0.010867424933840296,0.005199104945580764,gamma_high,0.13912051721443744,1.048,0.03019951720402016
36367,0.12331107500940562,0.025,0.0,0.5153614036738873,0.41152504432430353,0.009936028418615059,a1_low,0.11548256033754101,0.5680000000000001,0.28840315031266056
36368,0.11634706701152028,0.025,0.0,1.090938974171877,0.09737817904292949,0.006070786921121248,gamma_high,0.11793320051634144,1.08,0.12589254117941676
36369,0.14014430013485255,0.025,0.0,0.5267239011824131,0.2582669892179623,0.007498156992757809,a1_high,0.14597955781980068,0.496,0.3311311214825911
36370,0.18144346466287975,0.025,0.0,0.8688748903572558,0.026786602281943794,0.002388747334566942,gamma_low,0.18072208554280944,0.8720000000000001,0.018197008586099836
36371,0.05510716009885073,0.025,0.0,0.7113126493990422,0.9472816127903899,0.002063714960391376,m_high,0.05376295606840731,0.744,0.8709635899560806
36372,0.0868116042111069,0.025,0.0,0.9515488408505917,0.13146997468323254,0.005897681906768566,gamma_high,0.0882440743909485,0.936,0.16595869074375605
36373,0.17550249672494833,0.025,0.0,0.6184861116111279,0.03463525874549811,0.001360990189681205,gamma_high,0.17612018674972557,0.616,0.04168693834703355
36374,0.1529711060225964,0.025,0.0,1.185710247606039,0.36165937679962984,0.01564212910716302,a1_high,0.15979365110607316,1.1360000000000001,0.4570881896148752
36375,0.09181928494945168,0.025,0.0,0.4468003503978253,0.012703262985823624,0.001532550660115037,gamma_low,0.09168275063113387,0.448,0.01
36376,0.10107496017590166,0.025,0.0,0.8094076253473759,0.48043030811523607,0.006167311574645604,m_low,0.10417167602241235,0.776,0.5495408738576245
36377,0.16237441003322603,0.025,0.0,0.7705831713974476,0.016854390866583538,0.0016362907667180724,gamma_high,0.1629197086953926,0.768,0.023988329190194897
36378,0.16617357931099835,0.025,0.0,1.0252097882330418,0.17618931763268567,0.010489908010779812,gamma_low,0.16370615616354073,1.04,0.1445439770745927
36379,0.07733505801297724,0.025,0.0,0.5922569163143635,0.046369251777559156,0.0021858337853393763,gamma_high,0.0782412004628878,0.5840000000000001,0.06918309709189363
36380,0.06450817976146937,0.025,0.0,1.144994603842497,0.02001098394212314,0.002077474729393953,gamma_high,0.06466491595323862,1.1440000000000001,0.025118864315095794
