prebank_rank,state_id,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_margin_refined,refined_minus_grid_margin,alias_source_refined,alias_trigger_refined,alias_a1_refined,alias_m_refined,alias_gamma_refined,alias_delta_a1_refined,alias_delta_m_refined,alias_gamma_factor_refined
2318,15093,0.17870702599175275,0.025,0.0,0.5644095338881016,0.06202844338870961,0.005201986305179636,0.001786182023780641,-0.0034158042813989954,continuous_direct_verified,gamma_low,0.17775372811372683,0.5681301369022205,0.05169036949059133,0.0009532978780259216,0.0037206030141189173,1.2000000000000002
2319,6773,0.17663246528245513,0.025,0.0,0.5011828728020191,0.07424778569343479,0.004708894778792,0.0018771461780571173,-0.0028317486007348822,continuous_direct_verified,gamma_low,0.17543881154546395,0.5055828248059829,0.06187315474452899,0.0011936537369911793,0.004399952003963814,1.2000000000000002
2320,25941,0.17384881079196932,0.025,0.0,0.5637570805847645,0.09743277806166693,0.006555984169612072,0.00263861921107285,-0.0039173649585392215,continuous_direct_verified,gamma_low,0.17237356176990476,0.5698133635574335,0.08119398171805577,0.0014752490220645564,0.006056282972669025,1.2000000000000002
2321,23989,0.18043360947631304,0.025,0.0,0.5486685857176781,0.09529659838869849,0.006357392262834751,0.0025889621533100944,-0.003768430109524657,continuous_direct_verified,gamma_low,0.1789205466588104,0.5545545314500147,0.07941383199058205,0.0015130628175026306,0.005885945732336584,1.2000000000000004
2322,34437,0.16830597165971994,0.025,0.0,0.569180116802454,0.11188309817771896,0.006314545138688528,0.002937391913316712,-0.003377153225371816,continuous_direct_verified,gamma_low,0.16666567018559963,0.5762413824379838,0.09323591514809912,0.0016403014741203092,0.00706126563552989,1.2000000000000002
2323,2797,0.18241918566636744,0.025,0.0,0.5236525610089302,0.09040388682677841,0.006209011840423849,0.0023856353277012018,-0.003823376512722647,continuous_direct_verified,gamma_low,0.1809402665095234,0.5291503504809149,0.07533657235564867,0.001478919156844033,0.005497789471984649,1.2000000000000002
2324,25205,0.17669743313454095,0.025,0.0,0.5479209899902344,0.21117651925716596,0.011021548554232565,0.004890068301331906,-0.0061314802529006595,continuous_direct_verified,gamma_low,0.17335786752392904,0.5621748671339516,0.175980432714305,0.003339565610611911,0.014253877143717175,1.1999999999999997
2325,25709,0.18282669773325327,0.025,0.0,0.5095428012311458,0.1949354562092488,0.010201039855368493,0.004428629217087426,-0.005772410638281067,continuous_direct_verified,gamma_low,0.17952179375496355,0.5223275950628726,0.16244621350770735,0.003304903978289725,0.012784793831726815,1.1999999999999997
2326,21173,0.18083753255195917,0.025,0.0,0.5244789592921734,0.20402354642244314,0.009755471762133715,0.004664312594575676,-0.005091159167558039,continuous_direct_verified,gamma_low,0.1774659818434005,0.5380341829339621,0.17001962201870263,0.003371550708558657,0.013555223641788738,1.2
2327,7733,0.17930754548870032,0.025,0.0,0.516821364313364,0.1730072808385127,0.00939276074681339,0.0040363086304534895,-0.005356452116359901,continuous_direct_verified,gamma_low,0.17645595707228004,0.5280514242410069,0.14417273403209394,0.0028515884164202754,0.011230059927642921,1.1999999999999997
