stage,domain,anchor_id,true_a1,true_m,true_gamma,grid_margin,continuous_margin,trigger,alias_a1,alias_m,alias_gamma
2p,full,13,0.18991724196821452,0.8,0.4998070405051112,0.17932407595231556,0.1793240759523153,a1_high,0.19502827496086064,0.8,0.55
2p,full,14,0.12228752076625825,0.8,0.6245241969637573,0.20243148524485688,0.20243148524485685,a1_low,0.117212900495872,0.8,0.54
2p,full,15,0.04547348525375128,0.8,0.2464295987877995,0.05550492197019869,0.0491856428651491,gamma_low,0.044260403522702156,0.8,0.2053579989898329
2p,full,16,0.039005095884203915,0.8,0.5799001836590469,0.09065081521581252,0.08767564243399555,gamma_low,0.03707201718754177,0.8,0.4832501530492058
2p,full,17,0.11825824026018382,0.8,0.19788092360831797,0.10103690473436716,0.08814806301125051,gamma_low,0.11568515142275021,0.8,0.16490076967359832
2p,full,18,0.19434170722961427,0.8,0.8175950005557389,0.2017829291336393,0.18815059462377587,a1_low,0.18932771380641608,0.8,0.7545055374788336
2p,full,19,0.07378550376743079,0.8,0.45518373530358075,0.147434937453006,0.13133004753835734,gamma_low,0.07059717656670364,0.8,0.3793197794196506
2p,full,20,0.09715106841176749,0.8,0.9353568144515156,0.2191650499410941,0.21916504994109412,a1_low,0.09215106841176748,0.8,0.8
2p,full,21,0.17102540582418443,0.8,0.30589529431425033,0.1669160450674411,0.1669160450674412,a1_low,0.16602540582418443,0.8,0.26
2p,full,22,0.14176829848438502,0.8,0.6781145603302866,0.20280006717930144,0.19974689221269318,a1_low,0.13676829848438501,0.8,0.6033748988470496
2p,full,23,0.015445881709456445,0.8,0.06813989033922553,0.0074678637870664675,0.004698408231115965,gamma_low,0.015330131355445763,0.8,0.056783241949354614
2p,full,24,0.004813533648848534,0.8,0.8066906025167555,0.013791854637135113,0.0135595750646507,gamma_low,0.004541506210739748,0.8,0.6722421687639629
2p,full,25,0.12547188792377711,0.8,0.4345468721166253,0.2022933245872602,0.2022933245872602,a1_low,0.12005621375087076,0.8,0.36000000000000004
2p,full,26,0.1617358312010765,0.8,0.5573332524858415,0.19146791741688132,0.1914679174168812,a1_high,0.166866044924265,0.8,0.62
2p,full,27,0.08258805628865958,0.8,0.18890561991371216,0.07753639165534272,0.06295321077895848,gamma_low,0.08086907735684797,0.8,0.15742134992809348
2p,full,28,0.05907605495303869,0.8,0.6986871779058129,0.1451129237413722,0.1423243523750672,gamma_low,0.055899431925950864,0.8,0.5822393149215108
2p,full,29,0.1852963209152222,0.8,0.07910856349393725,0.06621154547606023,0.04587466797941635,gamma_low,0.18368001855193006,0.8,0.06592380291161437
2p,full,30,0.10210836175829173,0.8,0.9443888106569648,0.22078927524043446,0.22022521853739407,a1_low,0.09700408501068718,0.8,0.8103329449847818
2p,full,31,0.028128654882311824,0.8,0.3284055034723133,0.04429712161196412,0.04154077433603999,gamma_low,0.027169146635417717,0.8,0.2736712528935944
3p,development,0,0.10726027246564628,0.6441382817924023,0.2696949787810445,0.006669811332801636,0.006669811332801676,a1_high,0.11272358656973412,0.6200000000000002,0.31
3p,development,1,0.18640026794746523,0.9559115804731846,0.971627541994676,0.007859912949720315,0.007859912949720315,a1_low,0.1808192281131728,0.9800000000000005,0.9
3p,development,2,0.1428764013107866,0.5555918276309967,0.08971024096943438,0.010695975096664362,0.010695975096664362,a1_high,0.14918329994826363,0.5400000000000001,0.11000000000000001
3p,development,3,0.06402840954251587,1.0443556383252144,0.6870323592238128,0.007084982509408995,0.007084982509408995,m_low,0.06736425626583467,1.0100000000000007,0.8
3p,development,4,0.08208682276308538,0.4151828698813915,0.8197801645565778,0.0013544992924705097,0.0013544992924701812,m_high,0.07636581520692151,0.4600000000000001,0.75
3p,development,5,0.16232083542272452,1.184769431501627,0.4234762634523213,0.014783033419317053,0.014783033419316527,a1_high,0.16779526594128683,1.1700000000000008,0.5
3p,development,6,0.1683451309334487,0.7845472395420074,0.5315595193207264,0.011202720297259421,0.011202720297259421,a1_high,0.1741342705052685,0.7600000000000003,0.5800000000000001
3p,development,7,0.08781711296178402,0.8154977872967719,0.24711703973822297,0.006883529853769608,0.006883529853769427,gamma_high,0.09180618337792085,0.7900000000000004,0.31
3p,development,8,0.10279531534761191,0.5490358240902424,0.6167082849889993,0.0037269510824252086,0.0037269510824270396,a1_high,0.10784016319540615,0.5200000000000001,0.66
3p,development,9,0.17387523697689178,1.05090998634696,0.16245699803344907,0.015822899264352173,0.015822899264355924,gamma_low,0.16970517031152368,1.0600000000000005,0.11000000000000001
3p,development,10,0.14675654745660724,0.65123101323843,0.7963870982546359,0.005102471360644711,0.005102471360644711,a1_low,0.1413321171575061,0.6800000000000003,0.74
3p,development,11,0.07597091835923493,0.9488197416067123,0.4463837037421763,0.010282080822677944,0.010282080822677944,m_high,0.07218253006481705,0.9800000000000005,0.35000000000000003
3p,development,12,0.057839697971940045,0.7170537360012531,0.06656298973597585,0.0034347601315739833,0.0034347601315739833,gamma_low,0.05625487992238146,0.7300000000000003,0.029999999999999995
3p,development,13,0.12738607330247761,0.8829896353185176,0.7106690130196511,0.006978997058999282,0.006978997059001418,a1_high,0.1327892494017797,0.8500000000000004,0.79
3p,development,14,0.1920029028784484,0.4832131013274193,0.3545986079797149,0.003755003633236605,0.003755003633228279,a1_low,0.1834056070749004,0.5000000000000001,0.3400000000000001
