stage,domain,anchor_id,a1,m,gamma,sigma_min,condition,abs_cos_a1_loggamma,abs_cos_a1_m,abs_cos_m_loggamma
2p,full,62,0.11169093158096076,0.8,0.7187701928429305,1.6437302898405324,38.16959930495829,0.9985362342788674,,
2p,full,63,0.03146074712276459,0.8,0.08946312771178781,0.13482213024187764,457.68091745117846,0.9994868006718177,,
2p,full,64,0.03339508082717657,0.8,0.5287520331237465,0.7350892381262787,68.3608832222982,0.9988470139607117,,
2p,full,65,0.10941480100154877,0.8,0.15669997258111834,0.6630054730843011,81.59333515885639,0.9994086785230052,,
2p,full,66,0.1777899140492082,0.8,0.7744835242256523,1.72198706621902,46.35353631046418,0.9984512913202579,,
2p,full,67,0.05400960855185986,0.8,0.40596611007116734,0.903572681505856,59.55439313282499,0.9990498151002916,,
2p,full,68,0.08049813173711301,0.8,0.9775623317714781,1.5810237523200303,33.17474359726112,0.9981841873185958,,
2p,full,69,0.15134978387504816,0.8,0.35795247230678795,1.3472415872630616,48.67479013087056,0.9991260669880753,,
2p,full,70,0.13605179935693743,0.8,0.7282355481944979,1.6961049444868215,40.68837577987649,0.9985215229449643,,
2p,full,71,0.006709582172334194,0.8,0.11228159778751433,0.03899973750043905,1655.6722575665588,0.9994612247855073,,
2p,full,72,0.023030406795442104,0.8,0.8587441219761968,0.6559125300959955,66.58059671293631,0.9983315281684331,,
2p,full,73,0.14670856148004532,0.8,0.476756047969684,1.5080203601411206,45.900514495001275,0.9989337500797434,,
2p,full,74,0.16588838193565608,0.8,0.6014710653666407,1.6303065448791874,46.56040982756729,0.9987257231381167,,
2p,full,75,0.08976329229772091,0.8,0.23903050234541298,0.846912760259621,65.88536372032384,0.9993014754100148,,
2p,full,76,0.06312823705375195,0.8,0.6575098854117095,1.2845321600705988,40.56543722153531,0.9986337749182432,,
2p,full,77,0.19257260505110027,0.8,0.02795675442554057,0.1725571958105279,264.7424335306509,0.999551252648006,,
2p,full,78,0.12021799981594086,0.8,0.895175079992041,1.7350498527541207,36.775003169866814,0.9982834954258388,,
2p,full,79,0.049471717141568665,0.8,0.28529013257473707,0.6429277040622435,86.02295481357898,0.9992358776124748,,
2p,full,80,0.041049439832568174,0.8,0.9123039188887924,1.0685047163650436,42.022493911332276,0.9982617605746471,,
2p,full,81,0.11423635724931956,0.8,0.2984959618374705,1.1279641920432923,51.91771118255414,0.9992164998242362,,
2p,full,82,0.1981681823730469,0.8,0.6707098138146103,1.6572174349564057,50.950507399166746,0.9986124508348334,,
2p,full,83,0.07115531768649817,0.8,0.04508866176940501,0.13478223606916126,427.91038895451777,0.9995339254128983,,
2p,full,84,0.0947153365239501,0.8,0.5872428531292826,1.4794782812619698,39.980455377184434,0.9987493452852924,,
2p,full,85,0.1746574267745018,0.8,0.2209904526732862,1.0711949215013221,54.613478752041765,0.9993260405523648,,
2p,full,86,0.13755043540149928,0.8,0.8407104452326893,1.7440903430132675,39.51758259959201,0.9983561793457348,,
2p,full,87,0.017686205729842187,0.8,0.46252429521642624,0.3823449908411505,134.6477003377958,0.9989573351234745,,
2p,full,88,0.002586084231734276,0.8,0.706331733521074,0.07406159241352091,626.5351643132516,0.9985557250704333,,
2p,full,89,0.12967687640339137,0.8,0.10191620641387998,0.49127869522238815,105.44160706866825,0.9994729596565813,,
2p,full,90,0.1581168755888939,0.8,0.9672018971201033,1.7807728158633658,41.37655913788295,0.998195935212174,,
2p,full,91,0.0850107228383422,0.8,0.3360484215989709,1.059030570507748,53.507962503109354,0.9991599533082662,,
2p,full,92,0.06169489230960608,0.8,0.7838187434896827,1.3410262674328994,37.50461828415199,0.9984374738981293,,
2p,full,93,0.1814811944961548,0.8,0.426966503104195,1.4641478783904776,50.60823903829131,0.9990157535950319,,
2p,full,94,0.10611870530992747,0.8,0.5497469973657281,1.4952840623906727,41.20657957291899,0.9988118999319361,,
2p,full,95,0.02609585039317608,0.8,0.16603589994832874,0.2170741933006414,275.4190593798934,0.9993971616439946,,
3p,development,0,0.10726027246564628,0.6441382817924023,0.2696949787810445,0.02682468070300083,2332.4718604632526,0.9993634101680072,0.9967760287502175,0.9932808977503422
3p,development,1,0.18640026794746523,0.9559115804731846,0.971627541994676,0.036899814012295244,2381.667507450819,0.9986488779634044,0.9097657517619986,0.8869751474657686
3p,development,2,0.1428764013107866,0.5555918276309967,0.08971024096943438,0.017764379071728748,3533.1125718947424,0.9997793276176082,0.9976476329758867,0.9959884176954358
3p,development,3,0.06402840954251587,1.0443556383252144,0.6870323592238128,0.03673408501182192,1449.0846099915068,0.9990122795438743,0.6326838589158564,0.5976873177442344
3p,development,4,0.08208682276308538,0.4151828698813915,0.8197801645565778,0.005516439193067955,6845.576324799182,0.9727205465353854,0.999769773107694,0.967519609667198
3p,development,5,0.16232083542272452,1.184769431501627,0.4234762634523213,0.09100207092459045,669.7974428637332,0.999452375743952,0.7103286906239775,0.7331275140706014
3p,development,6,0.1683451309334487,0.7845472395420074,0.5315595193207264,0.03825065864514905,1994.2012857730444,0.9988306895273086,0.9863040455118439,0.9771816624539815
3p,development,7,0.08781711296178402,0.8154977872967719,0.24711703973822297,0.03906341401587117,1427.9649202050512,0.9992846994571722,0.8797273251131019,0.8611416469356179
3p,development,8,0.10279531534761191,0.5490358240902424,0.6167082849889993,0.012719186216553558,4197.245277579028,0.9978521410079167,0.9994090309796642,0.9950113074270551
3p,development,9,0.17387523697689178,1.05090998634696,0.16245699803344907,0.06731874412888943,731.2795161427028,0.9994802835080527,0.7987908928965853,0.8176581819031251
3p,development,10,0.14675654745660724,0.65123101323843,0.7963870982546359,0.019280156715421538,3374.269212616909,0.9979298090303791,0.9969021107199703,0.9897812689702962
3p,development,11,0.07597091835923493,0.9488197416067123,0.4463837037421763,0.04413282417395913,1254.2231112105296,0.9990770919082287,0.7779749433467521,0.7503064288263777
3p,development,12,0.057839697971940045,0.7170537360012531,0.06656298973597585,0.01081181865836667,5467.260991869483,0.9995802107295,0.038172862704918084,0.06705935153635824
3p,development,13,0.12738607330247761,0.8829896353185176,0.7106690130196511,0.037794100031540996,1806.5061528600438,0.9986941501731121,0.9624570856278858,0.9473415674586408
3p,development,14,0.1920029028784484,0.4832131013274193,0.3545986079797149,0.008858860200844488,11459.809040117645,0.9985497343141186,0.9999473512199003,0.9979450388212195
3p,development,15,0.12216481105424465,1.1167400926351547,0.8862389653827996,0.047188038519779735,1466.7796798076572,0.9990917639671367,0.18792146699415707,0.14594260014414928
3p,development,16,0.12014189446344974,0.46607877388596536,0.18351556524634363,0.00670178777111289,17919.105781616687,0.9995148022869265,0.9999904592924382,0.9993693692271248
3p,development,17,0.19928185362368822,1.13396779820323,0.5951673667412252,0.07495365418640249,1045.6218420308335,0.9992470819144071,0.26138310113372565,0.29855756952938545
3p,development,18,0.13001310830004514,0.7341914966702461,0.4871974073816091,0.03236133685431376,2085.133037185674,0.9988839167902822,0.9925862566938585,0.9857408940022315
3p,development,19,0.051165080210193996,0.8657653629779816,0.7560502873547376,0.01953981680327686,2541.432927778391,0.9986104716152298,0.970137907782321,0.9560143482513538
3p,development,20,0.06922351187095047,0.6996233619749546,0.7471358040068299,0.016025799319338712,3135.7739929799113,0.9982474755772348,0.9951873106486734,0.9876461813762578
3p,development,21,0.1494575597345829,0.9003256492316722,0.02961364118382335,0.013109493328004837,3755.178430196201,0.9995310851665038,0.8758773504052451,0.8901704271023011
