row_i,row_j,g_relative_difference,f_relative_difference,m_difference,gamma_difference,width_i,width_j,a1_i,a1_j
947,1511,0.01367834210395813,2.8867063522338867,0.9002964496612549,0.78999263048172,0.9497360587120056,0.01657642051577568,0.17442865669727325,0.05717763304710388
5003,9355,0.018307141959667206,2.8545913696289062,0.26785677671432495,0.19515922665596008,0.09765250980854034,0.017542662099003792,0.13790252804756165,0.14538708329200745
5893,3045,0.031525760889053345,2.84516978263855,0.8596544861793518,0.4738868474960327,0.3793032765388489,0.031542837619781494,0.16131606698036194,0.15994223952293396
4909,8278,0.041271381080150604,2.8383030891418457,0.7628118991851807,0.10394514352083206,0.15357160568237305,0.012164042331278324,0.18389827013015747,0.09719902276992798
4186,5853,0.012996026314795017,2.8353335857391357,0.04166014492511749,0.76201331615448,0.16736499965190887,0.0028002960607409477,0.12236625701189041,0.07302649319171906
386,6684,0.027989249676465988,2.821486711502075,0.03741629421710968,0.6993655562400818,0.1656428724527359,0.015566236339509487,0.10231447219848633,0.1175665557384491
199,1422,0.0011568323243409395,2.806469678878784,0.05427529662847519,0.2104557454586029,0.02983180619776249,0.008947346359491348,0.1004575788974762,0.19496925175189972
9440,3045,0.061147499829530716,2.7831356525421143,1.1648420095443726,0.9796830415725708,0.46335312724113464,0.031542837619781494,0.15148767828941345,0.15994223952293396
9095,1511,0.023503592237830162,2.659954071044922,1.81598961353302,0.2868661880493164,0.7637907266616821,0.01657642051577568,0.19848041236400604,0.05717763304710388
2248,4416,0.010762843303382397,2.6344292163848877,0.1194656491279602,0.45010626316070557,0.034606244415044785,0.03552419692277908,0.16023124754428864,0.14370648562908173
417,1511,0.01202080026268959,2.601254940032959,0.49734431505203247,0.3688603341579437,0.3111819624900818,0.01657642051577568,0.11241549998521805,0.05717763304710388
5068,8990,0.04162782430648804,2.594236135482788,0.022596299648284912,0.565534770488739,0.1599123328924179,0.014580205082893372,0.19664181768894196,0.15238921344280243
9641,1511,0.03520014137029648,2.574617385864258,0.5911457538604736,0.18682247400283813,0.2165035605430603,0.01657642051577568,0.07652639597654343,0.05717763304710388
3545,7203,0.015459416434168816,2.5546717643737793,1.6330407857894897,0.3028103709220886,0.03903559222817421,0.007314600981771946,0.19194141030311584,0.0878666415810585
2656,3045,0.013515387661755085,2.550177812576294,0.32892096042633057,0.22038930654525757,0.31161558628082275,0.031542837619781494,0.1448155790567398,0.15994223952293396
6168,6612,0.011341014876961708,2.5453271865844727,0.34394294023513794,0.27777907252311707,0.23753291368484497,0.014899089001119137,0.16187548637390137,0.14427225291728973
5106,1845,0.08146689087152481,2.534193992614746,0.36824312806129456,0.23735156655311584,0.08338610082864761,0.010535724461078644,0.16155312955379486,0.10953948646783829
5552,8990,0.037727661430835724,2.5268185138702393,0.03019566833972931,0.517193078994751,0.11698764562606812,0.014580205082893372,0.18279777467250824,0.15238921344280243
