state_index,a1,gamma,nearest_state,nearest_a1,nearest_gamma,snr_sep_rms,rms_g_difference,split,pool_candidate_index,remote_alias_rms_snr,remote_alias_a1,remote_alias_gamma
91,0.1416463851928711,0.7223538756370544,117,0.09945187717676163,0.01118793711066246,1.6920975105140565,5.9534968695204844e-05,train,14185,0.7793571949005127,0.11991303414106369,0.36099401116371155
92,0.1578722894191742,0.8659643530845642,146,0.1196637749671936,0.27305492758750916,1.654742062854257,5.8882748440671245e-05,train,7818,0.9645893573760986,0.13083182275295258,0.43276289105415344
93,0.1440582126379013,0.026760855689644814,44,0.1984349936246872,0.6702703237533569,1.8232949036327473,7.014549700345699e-05,train,1008,0.027599114924669266,0.14310164749622345,0.013373651541769505
94,0.14862091839313507,0.16836430132389069,34,0.1963777393102646,0.7370551824569702,1.8206829748240574,6.927745547911159e-05,train,17733,0.19255346059799194,0.14232206344604492,0.08413951098918915
95,0.14906984567642212,0.41927599906921387,33,0.1898009032011032,0.9688354134559631,1.8025969237504176,6.640888264802159e-05,train,14529,0.5007011294364929,0.13401605188846588,0.20953182876110077
96,0.19614331424236298,0.4883711636066437,170,0.15426413714885712,0.018674543127417564,1.3316645192725098,5.230170198149679e-05,train,831,0.7084664106369019,0.17361389100551605,0.2440619021654129
97,0.14755159616470337,0.011350108310580254,45,0.15007543563842773,0.020653801038861275,1.7957614787525822,6.978169596759173e-05,train,16642,0.02385110594332218,0.14838707447052002,0.02271171845495701
98,0.08695239573717117,0.01479108352214098,48,0.13255159556865692,0.9413475394248962,1.7939073765609415,6.130466562084899e-05,train,13276,0.020905042067170143,0.08759608119726181,0.02959715761244297
99,0.19865314662456512,0.881048858165741,156,0.16377557814121246,0.4466835856437683,1.419282866214454,5.336420672972034e-05,train,7997,1.0142732858657837,0.16865314543247223,0.4954501986503601
100,0.12088678032159805,0.8861352205276489,115,0.07956147938966751,0.011547819711267948,1.6797761077815538,5.656250301662753e-05,train,4939,0.7911065816879272,0.09991464763879776,0.4428432285785675
101,0.10953659564256668,1.0,108,0.07050382345914841,0.010115794837474823,1.7354063691210047,5.715796302948635e-05,train,1906,0.7822929620742798,0.0893019288778305,0.49974676966667175
102,0.09754802286624908,0.011155781336128712,12,0.13747751712799072,0.6918309926986694,1.7545294096700939,6.149193567686242e-05,train,1864,0.017170581966638565,0.09809080511331558,0.022322868928313255
103,0.18040597438812256,0.7079457640647888,5,0.19570310413837433,0.881048858165741,1.750257504396655,6.549667998569638e-05,train,5022,0.9227012395858765,0.15308937430381775,0.3537936210632324
104,0.13879606127738953,0.8081649541854858,22,0.14421115815639496,0.9549925923347473,1.7439058819406168,6.061076439123225e-05,train,13873,0.832184910774231,0.11595465242862701,0.4038778245449066
105,0.1991901844739914,0.6008277535438538,45,0.15007543563842773,0.020653801038861275,1.738013609362918,6.761520112139993e-05,train,3689,0.8653430342674255,0.17230097949504852,0.3002617359161377
106,0.07305382192134857,0.031531888991594315,109,0.1131221204996109,0.9605058431625366,1.7073377164350108,5.6561007145790066e-05,train,12693,0.01921207457780838,0.072481669485569,0.015757959336042404
