gamma_1,gamma_2,delta_gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.1,0.3981071705534973,0.29810717055349734,0.002,0.002065904438495636,0.0005307197418306526,0.005307197418306525,0.030232789123779944,0.017554441955645067,3.510888391129013e-05,151.16394561889973,15.116394561889974
0.1,0.6309573444801934,0.5309573444801934,0.002,0.0033657699823379517,0.0008636729333668775,0.008636729333668776,0.04966733758747314,0.01738915301924114,3.477830603848228e-05,248.33668793736572,24.833668793736567
0.1,1.0,0.9,0.002,0.004883572459220886,0.00125228335165382,0.012522833516538202,0.07282281718894773,0.01719630467473701,3.4392609349474015e-05,364.1140859447386,36.411408594473855
0.15848931924611143,0.25118864315095807,0.09269932390484664,0.002,0.0006627887487411499,0.0001703547550588674,0.001703547550588674,0.009666665270721346,0.01762290824063624,3.5245816481272483e-05,48.333326353606736,4.833332635360674
0.15848931924611143,0.3981071705534973,0.2396178513073859,0.002,0.0016338080167770386,0.0004194970314060627,0.0041949703140606275,0.023972382568048616,0.017499179742158203,3.4998359484316405e-05,119.86191284024308,11.986191284024306
0.15848931924611143,0.6309573444801934,0.47246802523408193,0.002,0.0029336735606193542,0.0007524503688145322,0.007524503688145322,0.04340920207970525,0.017333890805754277,3.466778161150855e-05,217.04601039852625,21.704601039852623
0.15848931924611143,1.0,0.8415106807538886,0.002,0.004451476037502289,0.0011410609131963583,0.011410609131963583,0.06656893335255978,0.017141042461250144,3.428208492250029e-05,332.84466676279897,33.2844666762799
0.25118864315095807,0.3981071705534973,0.14691852740253925,0.002,0.0009710192680358887,0.0002491423407810993,0.002491423407810993,0.014306558584849713,0.017414554262192364,3.482910852438473e-05,71.53279292424854,7.153279292424855
0.25118864315095807,0.6309573444801934,0.3797687013292353,0.002,0.0022708848118782043,0.0005820958264494428,0.0058209582644944274,0.033746122832210304,0.017249265325788438,3.449853065157687e-05,168.73061416105153,16.873061416105156
0.25118864315095807,1.0,0.748811356849042,0.002,0.003788687288761139,0.0009707064973488177,0.009707064973488177,0.05691151303430001,0.0170564169812843,3.411283396256861e-05,284.5575651715001,28.455756517150007
0.3981071705534973,0.6309573444801934,0.23285017392669605,0.002,0.0012998655438423157,0.00033295358334869875,0.0033295358334869875,0.019441935555429234,0.017125536827310398,3.4251073654620795e-05,97.20967777714617,9.720967777714616
0.3981071705534973,1.0,0.6018928294465027,0.002,0.0028176680207252502,0.0007215643382253636,0.007215643382253636,0.04261369002081696,0.016932688482806265,3.386537696561253e-05,213.0684501040848,21.30684501040848
0.6309573444801934,1.0,0.36904265551980664,0.002,0.0015178024768829346,0.00038861077308870905,0.0038861077308870906,0.023176567840067393,0.01676739954640234,3.353479909280468e-05,115.88283920033697,11.588283920033698
