state_1,state_2,m_1,m_2,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
1,41,0.4,1.0,0.015848931924611134,0.3981071705534973,0.002,0.003931421786546707,0.0008885101449664885,0.008885101449664885,0.05026684211568518,0.01767586957067349,3.5351739141346986e-05,251.3342105784259,25.13342105784259
1,42,0.4,1.0,0.015848931924611134,0.6309573444801934,0.002,0.0052184052765369415,0.0012213545321539986,0.012213545321539987,0.06975271182741567,0.017509778475364685,3.501955695072937e-05,348.7635591370784,34.87635591370784
1,43,0.4,1.0,0.015848931924611134,1.0,0.002,0.006758779287338257,0.0016210293897155413,0.016210293897155413,0.09364298553972529,0.017310740151784968,3.462148030356994e-05,468.2149276986263,46.82149276986263
1,44,0.4,1.2,0.015848931924611134,0.01,0.002,0.0016977936029434204,0.00028966952267829826,0.0028966952267829825,0.016104508540244856,0.01798685889447789,3.597371778895578e-05,80.52254270122427,8.052254270122427
1,45,0.4,1.2,0.015848931924611134,0.015848931924611134,0.002,0.0017383098602294922,0.0002993696829385765,0.002993696829385765,0.016648786726536854,0.017981471434276038,3.596294286855208e-05,83.24393363268426,8.324393363268427
1,46,0.4,1.2,0.015848931924611134,0.025118864315095794,0.002,0.0018025599420070648,0.00031489596669507207,0.0031489596669507206,0.017520566849289678,0.017972932577112292,3.594586515422458e-05,87.60283424644838,8.760283424644838
1,47,0.4,1.2,0.015848931924611134,0.039810717055349734,0.002,0.0019044429063796997,0.0003398224793895211,0.0033982247938952113,0.01892170262917685,0.017959402811115018,3.5918805622230037e-05,94.60851314588425,9.460851314588425
1,48,0.4,1.2,0.015848931924611134,0.06309573444801933,0.002,0.0020659156143665314,0.0003799276187209565,0.0037992761872095646,0.021180063021347274,0.01793798339211878,3.587596678423756e-05,105.90031510673636,10.590031510673636
1,49,0.4,1.2,0.015848931924611134,0.1,0.002,0.002321351319551468,0.0004444024173862702,0.0044440241738627016,0.024821186575410846,0.017904156839404217,3.580831367880843e-05,124.10593287705422,12.410593287705423
1,50,0.4,1.2,0.015848931924611134,0.15848931924611143,0.002,0.002723049372434616,0.000547312883240974,0.005473128832409739,0.030659928174762544,0.01785108171556285,3.57021634311257e-05,153.2996408738127,15.329964087381272
1,51,0.4,1.2,0.015848931924611134,0.25118864315095807,0.002,0.0033449381589889526,0.0007084294646620726,0.007084294646620726,0.039868511771321495,0.017769147459666783,3.553829491933357e-05,199.34255885660747,19.934255885660747
1,52,0.4,1.2,0.015848931924611134,0.3981071705534973,0.002,0.004272151738405228,0.000950310189614428,0.00950310189614428,0.053850049596383585,0.017647341028229027,3.5294682056458056e-05,269.25024798191794,26.925024798191792
1,53,0.4,1.2,0.015848931924611134,0.6309573444801934,0.002,0.005551304668188095,0.0012854095729848965,0.012854095729848964,0.0735378339176452,0.017479568060495537,3.4959136120991074e-05,367.689169588226,36.7689169588226
1,54,0.4,1.2,0.015848931924611134,1.0,0.002,0.007107947021722794,0.0016953749609204395,0.016953749609204392,0.09814105591971689,0.017274879967740724,3.454975993548145e-05,490.70527959858435,49.070527959858445
2,3,0.4,0.4,0.025118864315095794,0.039810717055349734,0.002,0.00014727935194969177,3.732102755954902e-05,0.00037321027559549024,0.0020655780518001334,0.018068079067273236,3.6136158134546474e-05,10.327890259000666,1.0327890259000667
2,4,0.4,0.4,0.025118864315095794,0.06309573444801933,0.002,0.0003796294331550598,9.619036756691329e-05,0.000961903675669133,0.005332402801661062,0.018038841240003413,3.607768248000683e-05,26.662014008305306,2.6662014008305306
2,5,0.4,0.4,0.025118864315095794,0.1,0.002,0.0007436461746692657,0.00018839002889985116,0.0018839002889985115,0.010470153371058217,0.01799305341797592,3.598610683595184e-05,52.350766855291084,5.235076685529108
2,6,0.4,0.4,0.025118864315095794,0.15848931924611143,0.002,0.0013042837381362915,0.0003303092783455017,0.0033030927834550167,0.018429780159782853,0.017922583746619876,3.584516749323975e-05,92.14890079891428,9.214890079891429
2,7,0.4,0.4,0.025118864315095794,0.25118864315095807,0.002,0.0021344274282455444,0.0005402084390832711,0.005402084390832711,0.030317476816969335,0.017818383843239388,3.5636767686478774e-05,151.5873840848467,15.158738408484668
2,8,0.4,0.4,0.025118864315095794,0.3981071705534973,0.002,0.0032678991556167603,0.0008261360270433707,0.008261360270433707,0.04673639944058369,0.017676501333690524,3.535300266738105e-05,233.68199720291844,23.368199720291845
2,9,0.4,0.4,0.025118864315095794,0.6309573444801934,0.002,0.004620186984539032,0.001165711599827278,0.01165711599827278,0.06658119373387654,0.017508121054221403,3.501624210844281e-05,332.9059686693827,33.290596866938266
2,10,0.4,0.4,0.025118864315095794,1.0,0.002,0.005995515733957291,0.0015084084754039381,0.015084084754039382,0.08699817832594013,0.017338391497723787,3.467678299544758e-05,434.9908916297006,43.49908916297006
2,11,0.4,0.6,0.025118864315095794,0.01,0.002,0.00031720101833343506,4.7146473243612326e-05,0.00047146473243612325,0.002608764927327107,0.01807233482394205,3.61446696478841e-05,13.043824636635534,1.3043824636635535
2,12,0.4,0.6,0.025118864315095794,0.015848931924611134,0.002,0.0003651343286037445,5.6293435648859263e-05,0.0005629343564885926,0.0031159424145507505,0.018066263158773917,3.613252631754783e-05,15.579712072753752,1.5579712072753753
2,13,0.4,0.6,0.025118864315095794,0.025118864315095794,0.002,0.00044108182191848755,7.26615488152113e-05,0.000726615488152113,0.004024089323692475,0.018056644117565857,3.611328823513172e-05,20.120446618462374,2.0120446618462373
2,14,0.4,0.6,0.025118864315095794,0.039810717055349734,0.002,0.0005613565444946289,0.0001007754317672458,0.001007754317672458,0.005585783192550587,0.01804141483716084,3.608282967432168e-05,27.92891596275293,2.792891596275293
2,15,0.4,0.6,0.025118864315095794,0.06309573444801933,0.002,0.0007515177130699158,0.00014730099313429602,0.0014730099313429602,0.008175510656056408,0.01801734464441994,3.603468928883988e-05,40.87755328028202,4.087755328028202
2,16,0.4,0.6,0.025118864315095794,0.1,0.002,0.001050952821969986,0.00022221044522840956,0.0022221044522840955,0.012359124322110495,0.017979465165737892,3.595893033147579e-05,61.79562161055246,6.179562161055246
2,17,0.4,0.6,0.025118864315095794,0.15848931924611143,0.002,0.001517564058303833,0.0003400693030821366,0.003400693030821366,0.01897656503051966,0.017920487850947176,3.5840975701894356e-05,94.88282515259829,9.48828251525983
2,18,0.4,0.6,0.025118864315095794,0.25118864315095807,0.002,0.0022267289459705353,0.0005197899906116162,0.005197899906116162,0.02915096150694841,0.01783097241879035,3.56619448375807e-05,145.754807534742,14.575480753474201
2,19,0.4,0.6,0.025118864315095794,0.3981071705534973,0.002,0.003246501088142395,0.000778266705577474,0.007782667055774739,0.04396363117852349,0.017702511933492475,3.540502386698495e-05,219.81815589261743,21.981815589261746
2,20,0.4,0.6,0.025118864315095794,0.6309573444801934,0.002,0.004568297415971756,0.0011127063154569871,0.01112706315456987,0.06345083585770868,0.017536511543398428,3.507302308679686e-05,317.25417928854336,31.725417928854334
2,21,0.4,0.6,0.025118864315095794,1.0,0.002,0.0060475170612335205,0.0014859314318204438,0.014859314318204439,0.08563731985361558,0.01735144717700677,3.470289435401354e-05,428.18659926807794,42.81865992680779
2,22,0.4,0.8,0.025118864315095794,0.01,0.002,0.000769440084695816,0.00012269888281149727,0.0012269888281149725,0.006801905856712015,0.018038897537874608,3.6077795075749216e-05,34.00952928356008,3.4009529283560083
2,23,0.4,0.8,0.025118864315095794,0.015848931924611134,0.002,0.0008134692907333374,0.00013239120166421429,0.001323912016642143,0.007341506318352526,0.018033247663801454,3.6066495327602905e-05,36.70753159176263,3.6707531591762628
2,24,0.4,0.8,0.025118864315095794,0.025118864315095794,0.002,0.000883251428604126,0.00014823804192857362,0.0014823804192857363,0.00822434599958798,0.018024295419477733,3.604859083895547e-05,41.12172999793989,4.112172999793989
