state_1,state_2,a1_1,a1_2,gamma_1,gamma_2,reference_noise_level,rms_g_difference,l2_g_difference,relative_l2_difference,master_mean_rms_g,sigma_reference,snr_sep_rms,snr_sep
0,44,0.05,0.08750000000000001,0.01,0.177827941,0.002,0.0011560716305290353,0.02585054752721944,0.07082531564169733,0.016278773711426518,3.255754742285304e-05,35.50856013550814,793.9955424613535
0,45,0.05,0.08750000000000001,0.01,0.237137371,0.002,0.0010635904373880734,0.023782605182184658,0.06534368343824211,0.01623296213872882,3.246592427745764e-05,32.760208158514246,732.5405239948105
0,46,0.05,0.08750000000000001,0.01,0.316227766,0.002,0.0009455210020532794,0.02114249234744851,0.058300190301528575,0.016174472085209383,3.2348944170418765e-05,29.228805647323213,653.5759632854446
0,47,0.05,0.08750000000000001,0.01,0.421696503,0.002,0.0007990400086360694,0.017867077760522702,0.04949062324184236,0.016101893736023526,3.220378747204705e-05,24.811988631139663,554.8129323618025
0,48,0.05,0.08750000000000001,0.01,0.562341325,0.002,0.0006247570362264796,0.013969992024237071,0.03890497773459275,0.016015492493804073,3.203098498760815e-05,19.504771285309516,436.13994479538025
0,49,0.05,0.08750000000000001,0.01,0.749894209,0.002,0.00042844674013713243,0.009580360356848158,0.026843919621900417,0.015918004164639975,3.183600832927995e-05,13.457929012510181,300.92844108339386
0,50,0.05,0.08750000000000001,0.01,1.0,0.002,0.00022112356781440486,0.004944473290602939,0.013945269982529027,0.015814280747394587,3.162856149478918e-05,6.991262244121823,156.32937626384125
0,51,0.05,0.10625000000000001,0.01,0.01,0.002,0.0021440296936646496,0.047941961408122076,0.12750644203357184,0.01676917860657097,3.353835721314194e-05,63.92768972072715,1429.4665986006048
0,52,0.05,0.10625000000000001,0.01,0.0133352143,0.002,0.002137339750453079,0.047792369730255205,0.1271337531682758,0.016765863117357935,3.353172623471587e-05,63.74082072280134,1425.2880807781105
0,53,0.05,0.10625000000000001,0.01,0.0177827941,0.002,0.002128419206180783,0.04759290029636371,0.12663657026748806,0.0167614422701957,3.35228845403914e-05,63.49152930489233,1419.7137552115923
0,54,0.05,0.10625000000000001,0.01,0.0237137371,0.002,0.0021165256095598602,0.047326951390950264,0.1259732766391754,0.016755548019594987,3.351109603918997e-05,63.15894911597827,1412.2770361077764
0,55,0.05,0.10625000000000001,0.01,0.0316227766,0.002,0.0021006709418095334,0.04697243024244622,0.12508835063002718,0.016747690855865104,3.349538171173021e-05,62.715241160361835,1402.3554245986186
0,56,0.05,0.10625000000000001,0.01,0.0421696503,0.002,0.0020795431136177737,0.04649999764190911,0.12390781007727848,0.016737220571169997,3.3474441142339995e-05,62.123310879937975,1389.1194611489361
0,57,0.05,0.10625000000000001,0.01,0.0562341325,0.002,0.002051405984857049,0.04587083231590266,0.1223333174792977,0.016723277011023104,3.344655402204621e-05,61.33385171772464,1371.4666176272456
0,58,0.05,0.10625000000000001,0.01,0.0749894209,0.002,0.0020139767271275845,0.04503388866959824,0.1202347759175473,0.016704729153521725,3.340945830704345e-05,60.28163368045371,1347.9383070423535
0,59,0.05,0.10625000000000001,0.01,0.1,0.002,0.0019642883088533294,0.04392282186004146,0.11744167809736697,0.01668010705188014,3.336021410376028e-05,58.88116613232167,1316.6229006632962
0,60,0.05,0.10625000000000001,0.01,0.133352143,0.002,0.0018985641815276635,0.04245318569542106,0.11373446296162969,0.016647539993416186,3.329507998683237e-05,57.022364333664704,1275.0588288783376
0,61,0.05,0.10625000000000001,0.01,0.177827941,0.002,0.001812179980344891,0.04052157623515409,0.10883974873873645,0.016604737292365085,3.320947458473017e-05,54.568161737136826,1220.1811905144095
0,62,0.05,0.10625000000000001,0.01,0.237137371,0.002,0.0016998723324062122,0.03801030088331409,0.10243824356552107,0.016549091769493873,3.309818353898775e-05,51.35847803864707,1148.4104811534492
0,63,0.05,0.10625000000000001,0.01,0.316227766,0.002,0.0015564818070987834,0.03480399126414595,0.09420210211110826,0.01647804676447081,3.295609352894162e-05,47.22895344777138,1056.0715041538988
0,64,0.05,0.10625000000000001,0.01,0.421696503,0.002,0.0013785619644238595,0.030825582636473964,0.08388328213332905,0.016389890274503625,3.277978054900725e-05,42.05525300460286,940.3840452924427
0,65,0.05,0.10625000000000001,0.01,0.562341325,0.002,0.001166797967833134,0.026090395720835005,0.07145588974673184,0.01628494534975357,3.256989069950714e-05,35.82443609031794,801.058743535477
0,66,0.05,0.10625000000000001,0.01,0.749894209,0.002,0.0009279943899712511,0.020750585387141664,0.0572480986004197,0.016166536126685203,3.2333072253370405e-05,28.70108917269737,641.7758641843452
0,67,0.05,0.10625000000000001,0.01,1.0,0.002,0.000674303606303103,0.015077887011669941,0.041924999252353566,0.016040556715494737,3.2081113430989475e-05,21.018709582933123,469.9926342676472
0,68,0.05,0.125,0.01,0.01,0.002,0.002858706246225969,0.06392261494264517,0.16648018873557285,0.017124282643591934,3.424856528718387e-05,83.46937228625232,1866.431904712972
0,69,0.05,0.125,0.01,0.0133352143,0.002,0.0028508357488587818,0.06374662527134754,0.16605972021790433,0.01712038099671331,3.424076199342662e-05,83.25853698600726,1861.7174840789266
0,70,0.05,0.125,0.01,0.0177827941,0.002,0.002840341063558451,0.06351195697400747,0.16549875979342446,0.017115178476281204,3.423035695256241e-05,82.97725517425052,1855.427831559703
0,71,0.05,0.125,0.01,0.0237137371,0.002,0.002826348526400984,0.06319907433138959,0.1647503007860738,0.017108242044440086,3.421648408888017e-05,82.60195638626422,1847.0358955415968
0,72,0.05,0.125,0.01,0.0316227766,0.002,0.002807695978385916,0.06278199067823688,0.1637516320531259,0.01709899560967162,3.419799121934324e-05,82.10119595556282,1835.8385519066924
0,73,0.05,0.125,0.01,0.0421696503,0.002,0.0027828396394883963,0.06222618604377062,0.16241912499323194,0.01708667408546935,3.41733481709387e-05,81.43304032043739,1820.8981377097925
0,74,0.05,0.125,0.01,0.0562341325,0.002,0.00274973696692153,0.06148598778280631,0.1606415524421888,0.017070265163598115,3.414053032719623e-05,80.54171802747595,1800.967565340565
0,75,0.05,0.125,0.01,0.0749894209,0.002,0.002705702214452116,0.06050134078386646,0.1582716260766515,0.017048437825901236,3.409687565180247e-05,79.35337659915723,1774.3954431985665
0,76,0.05,0.125,0.01,0.1,0.002,0.0026472446475288352,0.05919418984946946,0.15511606111180978,0.017019462346670487,3.4038924693340977e-05,77.7711009198453,1739.014683417705
0,77,0.05,0.125,0.01,0.133352143,0.002,0.0025699211246006386,0.057465183314197345,0.15092552840343332,0.016981137224325482,3.3962274448650964e-05,75.66987683602328,1692.0298845438472
0,78,0.05,0.125,0.01,0.177827941,0.002,0.0024682904271199823,0.05519265183252271,0.14538876516323368,0.01693076691227744,3.386153382455488e-05,72.8936391336794,1629.9513223024603
0,79,0.05,0.125,0.01,0.237137371,0.002,0.0023361590217257306,0.05223810378828142,0.13814081206791395,0.016865283276352682,3.373056655270536e-05,69.25940654081184,1548.6874110654883
0,80,0.05,0.125,0.01,0.316227766,0.002,0.002167454303658332,0.04846575161104502,0.12880432032165592,0.016781678088887378,3.356335617777476e-05,64.57799667524291,1444.0079041659858
0,81,0.05,0.125,0.01,0.421696503,0.002,0.001958114006234348,0.04378476025634449,0.11708865714168619,0.01667793701409287,3.335587402818574e-05,58.70372350548333,1312.6551629061298
0,82,0.05,0.125,0.01,0.562341325,0.002,0.0017089263926736258,0.038212755825617256,0.10295134797515813,0.01655444104422433,3.310888208844866e-05,51.61534563771491,1154.1542152807776
0,83,0.05,0.125,0.01,0.749894209,0.002,0.0014278475260590428,0.031927641297729216,0.08674931433536906,0.016415102827538906,3.2830205655077815e-05,43.4918849141659,972.5081113767254
0,84,0.05,0.125,0.01,1.0,0.002,0.001129022914044314,0.025245719839579878,0.0692200407342741,0.016266859499140612,3.253371899828122e-05,34.70316179050913,775.9862879775172
